[00:00:00 --> 00:00:02]  Здравствуйте, дорогие друзья!
[00:49:03 --> 00:49:06]  Если здесь, мы можем развлечить на перенокусочке мяса,
[00:49:06 --> 00:49:08]  то в кутуре в сардельках.
[00:49:08 --> 00:49:11]  Вы получаете полностью однородную структуру.
[00:49:11 --> 00:49:12]  Одновод цвета.
[00:49:12 --> 00:49:15]  Ну, это как пластилин.
[00:49:15 --> 00:49:17]  Такая вот, условно, как такой.
[00:49:17 --> 00:49:18]  Ну, да.
[00:49:18 --> 00:49:20]  С чем у вас, стране, чем можно.
[00:49:20 --> 00:49:22]  Ну, это такая колбаса магазина.
[00:49:22 --> 00:49:24]  Ну, да, просто как людям объяснить,
[00:49:24 --> 00:49:26]  как вот там у всех выглядит на ощупь.
[00:49:26 --> 00:49:27]  Какие она с аналогами?
[00:49:27 --> 00:49:29]  Она очень пластичная.
[00:49:29 --> 00:49:33]  И так, у пругая, как должна быть как резиновая,
[00:49:33 --> 00:49:35]  такая, но мягкая, предыду.
[00:49:35 --> 00:49:42]  ДИНАМИЧНАЯ МУЗЫКА
[00:49:42 --> 00:49:44]  Вот такой способ.
[00:49:44 --> 00:49:46]  Там помовки называется.
[00:49:46 --> 00:49:48]  Да, него нет названия.
[00:49:48 --> 00:49:49]  Улетка, да и все.
[00:49:49 --> 00:49:54]  Ну, так обычно, в сворачивую твой украинскую жарину.
[00:49:54 --> 00:49:56]  Ну, мы же не будем жарить.
[00:49:56 --> 00:50:00]  Не жаренное, но мы ее точно так же сделаем как.
[00:50:00 --> 00:50:02]  Я на кубаник, и раз видел, ребята, вот так вот,
[00:50:02 --> 00:50:03]  делаю в кресне.
[00:50:03 --> 00:50:05]  Ну, они ее веревка, не там еще все,
[00:50:05 --> 00:50:06]  старую, но уязываю.
[00:50:06 --> 00:50:09]  Вот так, просто положим вот так на решетку.
[00:50:11 --> 00:50:15]  Она такая аппетит, но выглядит обычным.
[00:50:15 --> 00:50:16]  А вы же тебя?
[00:50:16 --> 00:50:17]  Ну, подечают.
[00:50:17 --> 00:50:23]  А, Роман, а где коныекция больше и жара, где больше снизу?
[00:50:23 --> 00:50:27]  Вот, вот, и слушаются быстрее снизу.
[00:50:27 --> 00:50:31]  Просто свежий воздух идет, идет отсюда вот так.
[00:50:31 --> 00:50:32]  Хорошо.
[00:50:32 --> 00:50:36]  Ну, чтобы у нас колбас обоста, если я слышал, и знаю.
[00:50:36 --> 00:50:37]  Да.
[00:50:37 --> 00:50:38]  Да.
[00:50:38 --> 00:50:40]  Готовь, высказываете, был суще.
[00:50:40 --> 00:50:42]  Давай сейчас немножко...
[00:50:42 --> 00:50:43]  Поец, пожалуйста.
[00:50:43 --> 00:50:46]  Да, по этапам копчения сушки на все эти два минута.
[00:50:46 --> 00:50:51]  Значит, процесс копчения, мисной продукции,
[00:50:51 --> 00:50:55]  мясо, колбас, это не просто вот обработали дымом.
[00:50:55 --> 00:50:57]  У вас все покраснела и готово.
[00:50:57 --> 00:50:59]  Примышение температуритом, да.
[00:50:59 --> 00:51:01]  Да, при любой.
[00:51:01 --> 00:51:03]  Набычно, вот дома как копчатом.
[00:51:03 --> 00:51:05]  Температура градусов 150 под ее дым.
[00:51:05 --> 00:51:07]  Я на том, как это на углях.
[00:51:07 --> 00:51:08]  Вот.
[00:51:08 --> 00:51:10]  Вот.
[00:51:10 --> 00:51:14]  Потому что продукт внутри при этом остается сыры.
[00:51:14 --> 00:51:19]  То есть, в мясе у нас существует несколько этапов.
[00:51:19 --> 00:51:24]  Приготовление, и из них копчения занимает там 5%, да, или 10%.
[00:51:24 --> 00:51:27]  Ну, условно, коптим мы в среднем 25-30 минут.
[00:51:27 --> 00:51:31]  Вот. Поэтому самый первый этап. Это сушка.
[00:51:31 --> 00:51:37]  Вот. На этом этапе мы плавно набираем температуру внутри продукта.
[00:51:37 --> 00:51:41]  Плавно, повышается температуру внутри камеры.
[00:51:41 --> 00:51:43]  То есть, в несколько этапов.
[00:51:43 --> 00:51:47]  Я бы как сказал тоже, как я всегда объясняю.
[00:51:47 --> 00:51:49]  То есть, у нас есть 4 основных этапов.
[00:51:49 --> 00:51:51]  Первый этап, но с прогрев.
[00:51:51 --> 00:51:54]  Ну, там с ушку конкретно спрашивают, ребята.
[00:51:54 --> 00:51:56]  Первый этап у нас идет прогрев.
[00:51:56 --> 00:51:58]  И иногда ее называют у расушкой.
[00:51:58 --> 00:52:00]  Но в основном, у нас первый этап всегда идет прогрев.
[00:52:00 --> 00:52:03]  То есть, мы когда достали после посолота, например,
[00:52:03 --> 00:52:05]  колбасу, или цельный кусковую продукцию,
[00:52:05 --> 00:52:07]  она, у нас обычно, прохладная.
[00:52:07 --> 00:52:10]  То есть, внутри она может плюс 4, плюс 5,
[00:52:10 --> 00:52:11]  и там, плюс 9 градусов.
[00:52:11 --> 00:52:12]  Иметь.
[00:52:12 --> 00:52:13]  Обычно мы рекомендуем,
[00:52:13 --> 00:52:16]  и, значит, сделать отепление,
[00:52:16 --> 00:52:18]  то есть, чтобы она час полтора 2,
[00:52:18 --> 00:52:21]  может повесело просто развешанное на раме.
[00:52:21 --> 00:52:24]  То есть, она из тех, как на способом помещения отеплиться
[00:52:24 --> 00:52:27]  до температуры внутри, там 12, 14, 15 градусов.
[00:52:27 --> 00:52:30]  После этого мы эту продукцию помещаем ровтермакарю,
[00:52:30 --> 00:52:33]  но начинаем первые шага обчения, это продрев.
[00:52:33 --> 00:52:36]  То есть, при температуре в камере 45 градусов,
[00:52:36 --> 00:52:37]  сейчас один из один.
[00:52:37 --> 00:52:39]  Вот это типа у нас так.
[00:52:39 --> 00:52:42]  Местной хлебуши, так у небольшой получает соля.
[00:52:42 --> 00:52:43]  Вот.
[00:52:43 --> 00:52:45]  Рассевернуюсь, значит, первый шаг,
[00:52:45 --> 00:52:47]  обычно профессионального копчения у нас
[00:52:47 --> 00:52:49]  происходит при температуре 45 градусов.
[00:52:49 --> 00:52:52]  Мы вот сейчас закрыли все заслонки.
[00:52:52 --> 00:52:56]  Вентилятор у нас работает примерно на половину мощности.
[00:52:56 --> 00:52:58]  Температура в камере 45 градусов.
[00:52:58 --> 00:53:02]  И та влага, который споряется самого продукта,
[00:53:02 --> 00:53:04]  то есть, мы специально влагу не добавляем.
[00:53:04 --> 00:53:06]  Но та влага, которая споряется самого продукта,
[00:53:06 --> 00:53:08]  она остается в камере.
[00:53:08 --> 00:53:12]  И с помощью этой влаги происходит плавный нагрев продукта.
[00:53:12 --> 00:53:14]  Много пара мы сразу не можем дать,
[00:53:14 --> 00:53:16]  потому что из-за этого у нас,
[00:53:16 --> 00:53:18]  может, неравноменно,
[00:53:18 --> 00:53:19]  сработать не тридтое на солену,
[00:53:19 --> 00:53:20]  три слова продукта.
[00:53:20 --> 00:53:22]  И про крас, так дамя, а может быть неравномерным.
[00:53:22 --> 00:53:26]  Поэтому мы первым этапом всегда делаем равномерный прогрев.
[00:53:26 --> 00:53:28]  Следующим этап мы к разделам сушку.
[00:53:28 --> 00:53:31]  Температура 45-50 градусов на сушке,
[00:53:31 --> 00:53:32]  мы как-то с вентилятор.
[00:53:32 --> 00:53:35]  Ключаем на полную мощность на 80-90%.
[00:53:35 --> 00:53:38]  Фобычная, если у нас есть система регулировки скорости обдого.
[00:53:38 --> 00:53:42]  Если такой системы нет, мы стоим 50,
[00:53:42 --> 00:53:44]  ну, у нас в том дартная,
[00:53:44 --> 00:53:46]  тогда скорость на 50% на полторы тысячи оборотов.
[00:53:46 --> 00:53:49]  Если у нас есть система регулировки скорости обдого.
[00:53:49 --> 00:53:51]  Отсель какая-то, для чего мы это делаем?
[00:53:51 --> 00:53:56]  Для того, чтобы получить нам сухую поверхность,
[00:53:56 --> 00:53:59]  потому что только на сухую поверхность
[00:53:59 --> 00:54:01]  качественно лежит дым.
[00:54:01 --> 00:54:04]  У нас не будет вот этих белых 5,
[00:54:04 --> 00:54:07]  и у нас будет красивый, ровный цвет.
[00:54:07 --> 00:54:09]  Поэтому поверхность надо подсушить качественно.
[00:54:09 --> 00:54:11]  Это самый, когда есть проблемы,
[00:54:11 --> 00:54:12]  какие-то с дымом,
[00:54:12 --> 00:54:14]  перед уимы сейчас дольше закаптим,
[00:54:14 --> 00:54:16]  уимы сейчас другую щипу, возьмем.
[00:54:16 --> 00:54:18]  Это все бесполезно.
[00:54:18 --> 00:54:20]  Главное, причина того, что нераномер,
[00:54:20 --> 00:54:23]  ложится дым, это нераномерная подсушка.
[00:54:23 --> 00:54:26]  Вы уже, в определенный момент
[00:54:26 --> 00:54:27]  в основном, вы сами поймете,
[00:54:27 --> 00:54:30]  там желательно, конечно, копить однородный продукт.
[00:54:30 --> 00:54:32]  Для того, чтобы он однородно подсыхал.
[00:54:32 --> 00:54:34]  Если продукт не однородный,
[00:54:34 --> 00:54:36]  вам нужно, чтобы он есть был подсушный,
[00:54:36 --> 00:54:38]  раномерно, чтобы весь он раномерно скоптился.
[00:54:38 --> 00:54:42]  Вот, соответственно, первый этап у нас был прогреть.
[00:54:42 --> 00:54:44]  При температуре 45 градусов.
[00:54:44 --> 00:54:46]  Второй этап у нас сушка,
[00:54:46 --> 00:54:48]  сушка по сути, это подготовка к копчению.
[00:54:48 --> 00:54:50]  Мы подсушили поверхность с уха,
[00:54:50 --> 00:54:52]  и вон переходим не по средствам копчения.
[00:54:52 --> 00:54:55]  К общению мы, вечно, прикольте императури делаем.
[00:54:55 --> 00:54:58]  Мы чуть-чуть повышаем градус для того,
[00:54:58 --> 00:55:01]  что у нас не было избыточной важной сет.
[00:55:01 --> 00:55:04]  Потому что мы прикрываем заслонки
[00:55:04 --> 00:55:07]  в за два плечи сушки.
[00:55:07 --> 00:55:09]  Здесь у нас все открыто, правильно?
[00:55:09 --> 00:55:10]  Да, да.
[00:55:10 --> 00:55:12]  На прогреть, за открыто, на сушке будет открыто.
[00:55:12 --> 00:55:13]  На открыто.
[00:55:13 --> 00:55:14]  На копчении.
[00:55:14 --> 00:55:15]  На важной сет.
[00:55:15 --> 00:55:16]  Мы снижаем.
[00:55:16 --> 00:55:18]  И когда мы начинаем коптить,
[00:55:18 --> 00:55:19]  мы закрываем заслонки,
[00:55:19 --> 00:55:20]  чтобы он не дым,
[00:55:20 --> 00:55:22]  к консентрировал в камере.
[00:55:22 --> 00:55:23]  Мы прикрываем.
[00:55:23 --> 00:55:26]  И на этом этапе,
[00:55:26 --> 00:55:31]  нам важна регулировать вложенные показатели в камере.
[00:55:31 --> 00:55:34]  Поэтому мы повышаем чуть-чуть температуру.
[00:55:34 --> 00:55:36]  Что вложность не расслаб.
[00:55:36 --> 00:55:38]  6,6 градусов.
[00:55:38 --> 00:55:40]  Если коптим на щипе,
[00:55:40 --> 00:55:41]  40 минут.
[00:55:41 --> 00:55:43]  То можно в два этапа.
[00:55:43 --> 00:55:45]  Можно сначала на 60 минут.
[00:55:45 --> 00:55:47]  Потом еще до 70-х даже приводнять.
[00:55:47 --> 00:55:49]  Чтобы этот процесс,
[00:55:49 --> 00:55:54]  происходил при самым постоянном показателей вложности.
[00:55:54 --> 00:55:55]  Что он не расслаб?
[00:55:55 --> 00:56:00]  Я, как бы, что в более-дом глубокий познания,
[00:56:00 --> 00:56:02]  обычно на практике копчего.
[00:56:02 --> 00:56:05]  Максим, 6 градусов и коптим,
[00:56:05 --> 00:56:06]  а мы сомнадцать три минут.
[00:56:06 --> 00:56:10]  И по сфельам у вас еще камеры не полностью загружны.
[00:56:10 --> 00:56:12]  Когда полностью загружен,
[00:56:12 --> 00:56:14]  там более интенсивно отдаются вложность.
[00:56:14 --> 00:56:16]  Более интенсивно повышается влага.
[00:56:16 --> 00:56:19]  И соответственно, мы уже применяем дополнительные ухищения
[00:56:19 --> 00:56:22]  для того, чтобы сохранить сухость в камере.
[00:56:22 --> 00:56:26]  И получить тот свет, который нам подним.
[00:56:26 --> 00:56:31]  После копчения мы, соответственно, нам нужно, чтобы продукт можно было кушать.
[00:56:31 --> 00:56:34]  Пока температура была в камере максимально 60 градусов.
[00:56:34 --> 00:56:36]  То есть мы ее подсушили и уже с коптим.
[00:56:36 --> 00:56:38]  То есть, по сути, он с копченной продукт получается.
[00:56:38 --> 00:56:40]  Но кушать его еще нельзя.
[00:56:40 --> 00:56:44]  Потому что температура внутри у нас продукты еще не достигла 70 градусов.
[00:56:44 --> 00:56:47]  Кулинарная готовность порнуться.
[00:56:47 --> 00:56:51]  Возникает тогда, когда температура внутри у него достигает 70 градусов.
[00:56:51 --> 00:56:54]  Восадение в Кушать и до 99.
[00:56:54 --> 00:56:58]  Если не витину, что перестроховываться, мы обычно берем 7,5 градусов.
[00:56:58 --> 00:57:02]  То есть нам надо грубого говоря ее просто сварить.
[00:57:02 --> 00:57:05]  И в пищем сварить не в классическом понимании.
[00:57:05 --> 00:57:06]  Не в воде.
[00:57:06 --> 00:57:08]  Не в воде. Большая разница.
[00:57:08 --> 00:57:12]  Если вы варите в воде, у вас происходит вы варивание продукты.
[00:57:12 --> 00:57:16]  Воваривание жира. Воваривание спец и у вас остального.
[00:57:16 --> 00:57:18]  И по сути, по сути, по сути, варки воде,
[00:57:18 --> 00:57:21]  по сути, он будет значительно больше.
[00:57:21 --> 00:57:24]  Но у нас же речь идет о том, что нам получит деликаты,
[00:57:24 --> 00:57:25]  и продут.
[00:57:25 --> 00:57:28]  Они домашние кулинарные.
[00:57:28 --> 00:57:31]  И потом этот продукт продавать и делать на этом бизнес.
[00:57:31 --> 00:57:36]  Поэтому мы должны сделать это все максимально правильные грамотны.
[00:57:36 --> 00:57:38]  Возможно, наше условие.
[00:57:38 --> 00:57:41]  То есть, в операх с минимальными потерями,
[00:57:41 --> 00:57:44]  чтобы смаксимальными вкусовыми грамотами,
[00:57:44 --> 00:57:47]  чтобы было максимально вкусным продукт.
[00:57:47 --> 00:57:50]  Вот поэтому мы варим не в воде,
[00:57:50 --> 00:57:53]  а мы варим в очень гостому плотном паре.
[00:57:53 --> 00:57:55]  И чем выше у нас плотность пара,
[00:57:55 --> 00:57:57]  соответственно тем меньше у нас процент потерь.
[00:57:57 --> 00:57:59]  Потому что у нас получается внутри продукта,
[00:57:59 --> 00:58:01]  влазность близка к 100 процентам.
[00:58:01 --> 00:58:04]  И снаружи продукты тоже близка к 100 процентам.
[00:58:05 --> 00:58:09]  Соответственно, влагой из продукта самого она не удаляется,
[00:58:09 --> 00:58:10]  она не испаряется.
[00:58:10 --> 00:58:13]  И таким образом продукт собственный соку приготовливается,
[00:58:13 --> 00:58:17]  как раз в этом плотном воде, но пару.
[00:58:18 --> 00:58:19]  Вот.
[00:58:24 --> 00:58:26]  60 градусов 3 минут.
[00:58:27 --> 00:58:30]  Это 2-3 загрузки кассеты до мегенерата,
[00:58:30 --> 00:58:32]  и это 600 грамм щипы.
[00:58:33 --> 00:58:36]  Келаграм в щипы стоит 15 рублей.
[00:58:36 --> 00:58:38]  Соответственно, там сколько у нас получается?
[00:58:38 --> 00:58:40]  Парядка 9 рублей.
[00:58:40 --> 00:58:43]  Матрация мы на 1 на 1,1 к общения.
[00:58:43 --> 00:58:45]  В среднем на 7,8 килограмм.
[00:58:47 --> 00:58:48]  Мы сейчас прогреваем.
[00:58:48 --> 00:58:52]  Мы все параметры запишем как раз в YouTube.
[00:58:52 --> 00:58:54]  В комментариях у нас будет все программы.
[00:58:54 --> 00:58:56]  Все параметры и программы.
[00:58:56 --> 00:58:59]  И кстати, в YouTube у нас тоже есть ролик,
[00:58:59 --> 00:59:01]  где я подробная описываю именно типа вы программы
[00:59:01 --> 00:59:03]  горячего копчения,
[00:59:03 --> 00:59:05]  которые как раз вносится в эту панелю правление.
[00:59:05 --> 00:59:06]  Давай.
[00:59:06 --> 00:59:07]  Давай.
[00:59:07 --> 00:59:10]  Я использую тайник и яситину.
[00:59:10 --> 00:59:11]  Тальник, яситину.
[00:59:11 --> 00:59:14]  Здесь вытоками, мы коптим на вот этой вот щипе.
[00:59:14 --> 00:59:19]  Ее фракция 1,3 см или 10,30 мм.
[00:59:19 --> 00:59:23]  Слишком мельчить не нужно минимальная щипа допустимая
[00:59:23 --> 00:59:25]  это фракция 1,3 см.
[00:59:25 --> 00:59:27]  Она должна быть без корып,
[00:59:27 --> 00:59:29]  потому что коробуют давать горячь.
[00:59:29 --> 00:59:32]  Мы рекомендуем коптить на сухой щипе.
[00:59:32 --> 00:59:35]  Ее специально не замачивать, потому что тогда у вас
[00:59:35 --> 00:59:37]  не будет растевложность в камере.
[00:59:37 --> 00:59:40]  Важение не замачивали.
[00:59:40 --> 00:59:42]  Нет, не на вложение.
[00:59:42 --> 00:59:44]  Это все эти сложные не процессов.
[00:59:44 --> 00:59:48]  И какие-то фейковые рекомендации,
[00:59:48 --> 00:59:49]  которые не работают.
[00:59:49 --> 00:59:51]  Это такие эти рекомендации.
[00:59:51 --> 00:59:54]  Они приемлены для тех камер.
[00:59:54 --> 00:59:59]  Это очень сложная или невозможно регулировка
[00:59:59 --> 01:00:01]  тягическая с котитом генератора.
[01:00:01 --> 01:00:04]  У нас те огорегулируется достаточно просто.
[01:00:04 --> 01:00:07]  И вы буквально за 2 минуту настраивает эти тяг
[01:00:07 --> 01:00:09]  генератора.
[01:00:09 --> 01:00:11]  Таким образом, без всякого увлажнения у вас
[01:00:11 --> 01:00:15]  тленя было на минимальных, на минимальной температуре.
[01:00:15 --> 01:00:17]  Бардовое, это по-красивое,
[01:00:17 --> 01:00:19]  тленя щипы не рыжения.
[01:00:19 --> 01:00:20]  В форме не рыжения.
[01:00:20 --> 01:00:22]  Именно бордовое.
[01:00:22 --> 01:00:26]  Тогда аромады могут такой легкий, густой,
[01:00:26 --> 01:00:29]  бесс запаха диокти.
[01:00:29 --> 01:00:32]  Потому что, как только вы чувствуете запах диокти
[01:00:32 --> 01:00:35]  в дыму,
[01:00:35 --> 01:00:37]  однозначно можно сказать,
[01:00:37 --> 01:00:40]  что температуру дым образование выше 50 градусов.
[01:00:40 --> 01:00:43]  А сам посидиогать, он является как раз конца рогеном.
[01:00:43 --> 01:00:45]  В диокте содержится этот конца роген,
[01:00:45 --> 01:00:48]  бензоперен, на которой обычно сдают.
[01:00:48 --> 01:00:50]  Так что, что там посгорит уже они?
[01:00:50 --> 01:00:51]  Да, да.
[01:00:51 --> 01:00:53]  И дальше погарит нам не нужно, чтобы погарел.
[01:00:53 --> 01:00:55]  Нам нужно, чтобы она отклеила.
[01:00:55 --> 01:00:57]  Вот это основной парайной тар.
[01:00:57 --> 01:01:00]  И заслонечками мы этот процесс регулируем.
[01:01:00 --> 01:01:03]  А если мы говорим, профильционная автоматизированная дымы генератор,
[01:01:03 --> 01:01:05]  то там уже автоматик отвечает за то,
[01:01:05 --> 01:01:09]  чтобы в любой момент времени у нас температура дыма образования
[01:01:09 --> 01:01:11]  была как раз награница в озгарания.
[01:01:11 --> 01:01:13]  То есть порядка 300 градусов.
[01:01:13 --> 01:01:15]  И они еще не хмуре, броветами.
[01:01:15 --> 01:01:17]  Если не слишком сложно.
[01:01:17 --> 01:01:21]  Вот и в этом как раз в фишках фрикционных дымы генератор,
[01:01:21 --> 01:01:27]  что они всегда выделяют максимально качественные максимально ароматичный дым.
[01:01:27 --> 01:01:30]  Вот может там вообще отсутствует как-то калое горение.
[01:01:30 --> 01:01:33]  А горение или пламя,
[01:01:33 --> 01:01:35]  по сути это враг любого дыма,
[01:01:35 --> 01:01:38]  потому что в огне згарает дым.
[01:01:38 --> 01:01:43]  Вот и появляется вторичные продукты горения,
[01:01:43 --> 01:01:46]  которые портит аромат нежная аромат дыма.
[01:01:46 --> 01:01:47]  Вот эти сознания,
[01:01:47 --> 01:01:49]  мы подчеркнули из кидии курку,
[01:01:49 --> 01:01:52]  это еще советская книга про основы копчения.
[01:01:52 --> 01:01:55]  И это просто кладися информации
[01:01:55 --> 01:01:57]  для тех, кто реально хочет разобраться
[01:01:57 --> 01:02:00]  с процессом дыма образования
[01:02:00 --> 01:02:03]  с всеми этими нюансами,
[01:02:03 --> 01:02:07]  которые характерно для процессы пиролеза древесины.
[01:02:07 --> 01:02:09]  Я и жирам,
[01:02:09 --> 01:02:11]  и я и в миле,
[01:02:12 --> 01:02:14]  я и жирам отиматики по образования.
[01:02:14 --> 01:02:17]  Вот и вот десятого года
[01:02:17 --> 01:02:19]  вот это занимаюсь копчением.
[01:02:19 --> 01:02:22]  Вот как оказалось,
[01:02:22 --> 01:02:23]  достаточно глубокая отиматика
[01:02:23 --> 01:02:25]  и в ней можно погружаться.
[01:02:25 --> 01:02:27]  То есть, наша сейчас задача дать основы
[01:02:27 --> 01:02:28]  базовые вещи,
[01:02:28 --> 01:02:30]  с которых можно стартовать.
[01:02:30 --> 01:02:31]  Но тема облагодаря этому,
[01:02:31 --> 01:02:32]  что на глубокое она интересна
[01:02:32 --> 01:02:34]  и в ней можно достаточно угрозиваться.
[01:02:34 --> 01:02:35]  Мы сейчас иготивны.
[01:02:35 --> 01:02:37]  А это просто коротко и доступна
[01:02:37 --> 01:02:41]  сказать, что происходит в камере на каждом этапе.
[01:02:41 --> 01:02:42]  Правильно?
[01:02:42 --> 01:02:43]  Да.
[01:02:43 --> 01:02:45]  То есть, нам для копчения нужно получить
[01:02:45 --> 01:02:47]  сухую поверхность.
[01:02:47 --> 01:02:49]  Но мы сейчас включили
[01:02:49 --> 01:02:50]  прогрев.
[01:02:50 --> 01:02:52]  При этом у нас все заслалки закрыты.
[01:02:52 --> 01:02:54]  То есть у нас поверхность
[01:02:54 --> 01:02:56]  продукты сейчас не сушится.
[01:02:56 --> 01:02:58]  Ну, минимально, слушать так, скажем.
[01:02:58 --> 01:02:59]  Немально, минимально.
[01:02:59 --> 01:03:01]  Важность, а влажность у нас 100 процентов.
[01:03:01 --> 01:03:04]  А потому что мы не набрали воду,
[01:03:04 --> 01:03:06]  коробочку на задней стенке.
[01:03:06 --> 01:03:07]  Почему?
[01:03:07 --> 01:03:09]  Потому что я это забыл сделать.
[01:03:09 --> 01:03:11]  Так, давайте на вере.
[01:03:11 --> 01:03:12]  Да.
[01:03:12 --> 01:03:14]  Иначе у нас не понятно.
[01:03:14 --> 01:03:18]  А я сейчас пока объясню важный момент.
[01:03:18 --> 01:03:19]  Влажность 100 процентов
[01:03:19 --> 01:03:21]  будет не может это ошибка.
[01:03:21 --> 01:03:23]  Влажность в среднем на этапе
[01:03:23 --> 01:03:25]  сушке, 40-60 процентов.
[01:03:25 --> 01:03:27]  Может быть, на этапе прогрева.
[01:03:27 --> 01:03:28]  Если вы видите,
[01:03:28 --> 01:03:30]  влажность 100 процентов сразу опознать,
[01:03:30 --> 01:03:31]  что-то не так.
[01:03:31 --> 01:03:33]  Значит температура влажного термометра
[01:03:33 --> 01:03:36]  маленькие цыкарки.
[01:03:36 --> 01:03:38]  Она соответственно температура в камере.
[01:03:38 --> 01:03:39]  И это ошибка.
[01:03:39 --> 01:03:41]  То есть мы сразу видим, что у нас
[01:03:41 --> 01:03:43]  с температура влажного термометра,
[01:03:43 --> 01:03:44]  что-то не так.
[01:03:44 --> 01:03:47]  Мы забыли набрать воду в специальную корабльку на задней стенке.
[01:03:47 --> 01:03:48]  Сейчас я вам ее покажу.
[01:03:51 --> 01:03:52]  Выкатывая мне?
[01:03:52 --> 01:03:53]  Нет, не.
[01:03:53 --> 01:03:54]  Не, не, можно вытатывать.
[01:03:54 --> 01:03:55]  Вот у нас термометра.
[01:04:01 --> 01:04:02]  Вот у нас термометра.
[01:04:02 --> 01:04:04]  Мы сейчас на нее наберем воду.
[01:04:04 --> 01:04:06]  Но выкредить нам все равно придется,
[01:04:06 --> 01:04:10]  потому что туда нужно бин на мотать положить.
[01:04:10 --> 01:04:16]  Не забывая ему так вот вытащить дачек температуры.
[01:04:16 --> 01:04:18]  Давайте, с вами.
[01:04:18 --> 01:04:20]  Вот так мы берем.
[01:04:20 --> 01:04:23]  То же как мы делаем фитиль для влажного термометра.
[01:04:23 --> 01:04:28]  Вот так вот берем на ключу,
[01:04:28 --> 01:04:30]  и просто морличку на руку.
[01:04:30 --> 01:04:33]  Я все время побольше на мотал.
[01:04:33 --> 01:04:35]  Вот он, да ладно.
[01:04:47 --> 01:04:51]  И надеваем вот таким утопорцом на нижний термометр.
[01:04:51 --> 01:04:52]  На нижний термометр.
[01:04:53 --> 01:04:55]  Сюда наливаем обычную воду.
[01:04:56 --> 01:04:58]  Вот и вешаем на задней стенку.
[01:04:58 --> 01:05:03]  Смачиваем фитиль,
[01:05:03 --> 01:05:22]  и влажность в камеру нас считается,
[01:05:22 --> 01:05:24]  считается спло.
[01:05:24 --> 01:05:25]  Глазная жаль.
[01:05:25 --> 01:05:26]  Возьмешь в прошлом работы?
[01:05:26 --> 01:05:27]  Вот, да.
[01:05:27 --> 01:05:31]  Влазность в камере считается поразности температуру в
[01:05:31 --> 01:05:33]  влажного и суповый термометр.
[01:05:33 --> 01:05:36]  Мы все знаем, что когда тело мукры мы убегаем из водоёва,
[01:05:36 --> 01:05:39]  даже если на улице жара, мы все равно испытываем холод.
[01:05:39 --> 01:05:41]  Это потому, что когда вода из порядка
[01:05:41 --> 01:05:43]  с нашего тела и вислибо поверхности,
[01:05:43 --> 01:05:45]  она понижает температуру этой поверхности.
[01:05:45 --> 01:05:49]  Также мы таким образом понимаем,
[01:05:49 --> 01:05:54]  насколько быстро у нас испаряется влага
[01:05:54 --> 01:05:56]  с поверхности нашего фитиля.
[01:05:56 --> 01:06:00]  И то, насколько интенсива она испаряется,
[01:06:00 --> 01:06:03]  говорить на мотор, насколько понизится температура
[01:06:03 --> 01:06:05]  нашего влажного термометра.
[01:06:05 --> 01:06:08]  И если эта температура понизжается сильно
[01:06:08 --> 01:06:11]  соответственно, разница между температурой и бойбой
[01:06:11 --> 01:06:14]  и соответственно влажность в камере будет меньше.
[01:06:14 --> 01:06:18]  А если разница между этими думя датчиками будет минимальная,
[01:06:18 --> 01:06:21]  значит, влажность у нас будет максимальная.
[01:06:21 --> 01:06:24]  Таким образом, мы замеряем влажность в камере.
[01:06:24 --> 01:06:33]  Ну вот сразу можно посмотреть влажность у нас
[01:06:33 --> 01:06:35]  перчисная 37%.
[01:06:35 --> 01:06:41]  На самом деле, при такой влажности, можно коптить,
[01:06:41 --> 01:06:43]  уже.
[01:06:43 --> 01:06:45]  Ну это еще не очень честно и важно,
[01:06:45 --> 01:06:49]  потому что для начала вода должна быть температуры
[01:06:49 --> 01:06:51]  камеры.
[01:06:51 --> 01:06:54]  И у нас маленькая загрузка.
[01:06:54 --> 01:06:57]  В любом случае, влажность небольшая.
[01:06:57 --> 01:07:00]  Мы сейчас три минутки еще делаем программу,
[01:07:00 --> 01:07:02]  как мы сейчас объясняли,
[01:07:02 --> 01:07:04]  что это программу на соцселье,
[01:07:04 --> 01:07:07]  по программу, чтобы температуру внутри у нас повысилась.
[01:07:07 --> 01:07:10]  Чтобы не был слишком большой городент между температурой камеры
[01:07:10 --> 01:07:12]  и температуру внутри продукта.
[01:07:12 --> 01:07:15]  Ну и плюс чтобы сработало нашу прекрасно не тридная соль.
[01:07:15 --> 01:07:19]  Вот, через три минуты мы прогрев закончим и начнем сушку.
[01:07:19 --> 01:07:24]  Сушка от продеревара, отключается только открытостью
[01:07:24 --> 01:07:26]  либо закрытостью заслонок.
[01:07:26 --> 01:07:29]  И если у вас есть система регулировки скоростья обдого скоростью,
[01:07:29 --> 01:07:30]  вот этого вентилятора.
[01:07:30 --> 01:07:33]  На сушке мы поставим 90% на контилляторах.
[01:07:33 --> 01:07:36]  Что нам это дает сокращение по времени, да?
[01:07:36 --> 01:07:40]  Сочетать, что больше интенсивная будет обдов продукции,
[01:07:40 --> 01:07:44]  и больше интенсивного воздуха будет выбрасываться у нас из камеры.
