[00:00:00 --> 00:00:06]  Здравствуйте, друзья!
[00:41:11 --> 00:41:13]  Это беготня постоянно с гостраем, кастем и с ящиками.
[00:41:14 --> 00:41:17]  Собилировали, отдать до потолка, потому что надо делать.
[00:41:18 --> 00:41:19]  А куда это все классию?
[00:41:20 --> 00:41:21]  Поэтому, да.
[00:41:22 --> 00:41:24]  К закому рода и некировали, не пришли уже после каких-то ошибок.
[00:41:25 --> 00:41:27]  Или просто логично пришли, какому-то.
[00:41:28 --> 00:41:29]  Ну, что вот надо и некировать вот так вот.
[00:41:30 --> 00:41:32]  Мы не ктировали, как вручную.
[00:41:33 --> 00:41:35]  Вручную, с уголочкой.
[00:41:35 --> 00:41:40]  Но, это классно все, когда ты делаешь, что там не знаю, 10 килограмм.
[00:41:41 --> 00:41:42]  То без проблем.
[00:41:43 --> 00:41:44]  Ну, все равно это тоже продает, кого очень.
[00:41:45 --> 00:41:48]  И сделать 10 килограмм, при инектировать.
[00:41:49 --> 00:41:51]  Не всегда получается быстро.
[00:41:52 --> 00:41:54]  И не всегда получается, как бы равномерное качество.
[00:41:55 --> 00:41:58]  Поэтому пришли к выводу, что все-таки надо.
[00:41:59 --> 00:42:00]  Такая вотсть.
[00:42:01 --> 00:42:02]  Давайте покрутим уже.
[00:42:02 --> 00:42:03]  Да, пора.
[00:42:04 --> 00:42:05]  Фарш.
[00:42:06 --> 00:42:07]  Это у нас свини, мелкая фаракция.
[00:42:08 --> 00:42:10]  Делаем мы деревенскую колбасу.
[00:42:11 --> 00:42:14]  Она на самом-то, когда у нас очень толстая.
[00:42:15 --> 00:42:16]  Фарш ее, он кое-к 45 плюс.
[00:42:17 --> 00:42:20]  Колбасах очень вкусная, выход с 100%.
[00:42:21 --> 00:42:23]  И она очень хорошо продается.
[00:42:24 --> 00:42:30]  Поэтому меня пригласили банк, пригласил меня на войсную торговлю.
[00:42:30 --> 00:42:32]  Они устраивают такие вкусные пятницы.
[00:42:33 --> 00:42:34]  У себя в банке.
[00:42:35 --> 00:42:36]  А в руках в руках в руках в банке.
[00:42:37 --> 00:42:38]  Вот это в отсковье.
[00:42:39 --> 00:42:40]  И мы туда привозим.
[00:42:41 --> 00:42:42]  Все продаем, они делают рекламы.
[00:42:43 --> 00:42:45]  А наносим люди приходят не только работники банка,
[00:42:46 --> 00:42:47]  но жить в лепсковую, приезжают по-копу.
[00:42:48 --> 00:42:49]  Банны живет клиентов на колбасу.
[00:42:50 --> 00:42:54]  Да, но банка, таким образом, поддерживает нас производители
[00:42:55 --> 00:42:57]  с сельхосперии работчиков.
[00:42:57 --> 00:43:00]  Вот это и мы, конечно, всегда откликаемся на их.
[00:43:01 --> 00:43:02]  Так, ну еще крутим.
[00:43:03 --> 00:43:04]  Поехали.
[00:43:05 --> 00:43:08]  Практически автоматически 40, я теперь.
[00:43:09 --> 00:43:11]  Идя заставь.
[00:43:12 --> 00:43:13]  Да.
[00:43:14 --> 00:43:15]  Даже ручилась в приц.
[00:43:16 --> 00:43:18]  Санякуратника деликатна, да, так что в ней порвалась оболочка.
[00:43:19 --> 00:43:20]  Ну, да.
[00:43:21 --> 00:43:23]  А можно и по быстрее.
[00:43:23 --> 00:43:25]  Все, ладно.
[00:43:26 --> 00:43:27]  Дважды просить не надо.
[00:43:28 --> 00:43:29]  Я заставь.
[00:43:30 --> 00:43:31]  Так, и в оболочках крепко, это свиная.
[00:43:32 --> 00:43:33]  Вот работой с ней легко.
[00:43:34 --> 00:43:36]  Вот это, кстати, 45, на нанос за счет того,
[00:43:37 --> 00:43:38]  чтобы получать сколбасы тяжелые.
[00:43:39 --> 00:43:40]  Вот, бывает, что, конечно, ровется.
[00:43:41 --> 00:43:42]  А у кучей уберете.
[00:43:43 --> 00:43:44]  А черевую, да.
[00:43:45 --> 00:43:46]  Вдока по стащиков.
[00:43:47 --> 00:43:48]  Ну, стоп.
[00:43:49 --> 00:43:50]  И шприз даже с голосовым,
[00:43:50 --> 00:43:52]  с работки с голосовыми командами.
[00:44:00 --> 00:44:02]  А можно накрутить много.
[00:44:04 --> 00:44:05]  Клабасы, много сделать.
[00:44:06 --> 00:44:09]  Один человек может, дверам и накрутить спокойно сделать.
[00:44:10 --> 00:44:11]  200 килограмм за смену.
[00:44:12 --> 00:44:13]  Один может сделать в общий легко.
[00:44:14 --> 00:44:15]  Вот.
[00:44:16 --> 00:44:18]  Теперь мы перекручиваем.
[00:44:18 --> 00:44:20]  Одну колбасину, мой крутин.
[00:44:21 --> 00:44:22]  В одну сторону.
[00:44:23 --> 00:44:24]  Другой, крутин.
[00:44:25 --> 00:44:26]  В другой стороны.
[00:44:27 --> 00:44:29]  Это обязательно, потому что, иначе, будет на раскручиваться.
[00:44:30 --> 00:44:32]  Если, вот, забит о слабенько,
[00:44:33 --> 00:44:35]  то, кстати, с нами верим, на сантиметрика на 2 по больше.
[00:44:36 --> 00:44:37]  И, и, по сильнее, крутин.
[00:44:38 --> 00:44:39]  Да, и по больше крутин, что, по-наивод,
[00:44:40 --> 00:44:41]  примерно было в таком размере,
[00:44:42 --> 00:44:43]  1025 сантиметра.
[00:44:44 --> 00:44:45]  Привающий быстро получается.
[00:44:45 --> 00:44:47]  Ну, как бы, так быстро легко.
[00:44:48 --> 00:44:51]  Ну, конечно, от invented this, у меня всё равно.
[00:44:52 --> 00:44:53]  Это и крутин, и вот это вот здесь,
[00:44:54 --> 00:44:56]  по рукой почувствую, что здесь counterащивается,
[00:44:57 --> 00:44:59]  значит, не туда крутин.
[00:44:59 --> 00:45:01]  Да, ну туда, но, тогда вдруг вы...
[00:45:02 --> 00:45:03]  Вот, все.
[00:45:04 --> 00:45:05]  Дальше и вот сюда.
[00:45:08 --> 00:45:09]  Тихинология.
[00:45:10 --> 00:45:12]  Тихинологию ещё просто.
[00:45:12 --> 00:45:13]  Да.
[00:45:13 --> 00:45:16]  Опа.
[00:45:16 --> 00:45:19]  Оп.
[00:45:19 --> 00:45:22]  Тем-тем-тем-тем-тем-тем.
[00:45:22 --> 00:45:23]  Все.
[00:45:23 --> 00:45:24]  Орвана.
[00:45:24 --> 00:45:25]  Да.
[00:45:25 --> 00:45:26]  Воклища.
[00:45:26 --> 00:45:27]  Овешивай вещи.
[00:45:27 --> 00:45:29]  И завезу музилок.
[00:45:29 --> 00:45:31]  Хитр какой-то реабычный.
[00:45:31 --> 00:45:32]  Та обычный.
[00:45:32 --> 00:45:35]  Она не развеется.
[00:45:35 --> 00:45:39]  Ничего, но хитрого нет.
[00:45:39 --> 00:45:41]  Все просто добеза брать.
[00:45:41 --> 00:45:52]  Но на самом деле тогда мне легко говорить просто, когда я начинал, я там материался,
[00:45:52 --> 00:45:56]  потому что все это объется, не понимаешь.
[00:45:56 --> 00:45:58]  А вы у нас были на семейаре?
[00:45:58 --> 00:45:59]  Да, конечно.
[00:45:59 --> 00:46:00]  Сколько раз один раз.
[00:46:00 --> 00:46:01]  У Сан Саннаща, да?
[00:46:01 --> 00:46:04]  Да, месяц Саннаща приезжают как раз.
[00:46:04 --> 00:46:09]  Вы на общий семейар, ездили где много людей, были или дедольные сема ущались?
[00:46:09 --> 00:46:11]  Нет, там нас с группой, там чёр.
[00:46:11 --> 00:46:12]  Пять было.
[00:46:12 --> 00:46:13]  У нас на производстве, да?
[00:46:13 --> 00:46:14]  Да.
[00:46:14 --> 00:46:16]  Но мы у них сначала там были.
[00:46:16 --> 00:46:17]  Вот, потом на второй день.
[00:46:17 --> 00:46:20]  К вам или на третьей поехали, не помни уже.
[00:46:20 --> 00:46:21]  Вот.
[00:46:21 --> 00:46:24]  Я до сих пор, совсем ребятами общаюсь, они тоже все.
[00:46:24 --> 00:46:26]  Помогайся другу советую.
[00:46:26 --> 00:46:27]  Да, да.
[00:46:27 --> 00:46:28]  Оставлено созваниваемся.
[00:46:28 --> 00:46:30]  А вот из всех, кто был на семинаре с вами,
[00:46:30 --> 00:46:32]  есть люди, у которых в получилы,
[00:46:32 --> 00:46:34]  которые прям классно коортиат,
[00:46:34 --> 00:46:36]  а можно, как-то, прорателий в бизнес.
[00:46:36 --> 00:46:37]  Да, есть.
[00:46:37 --> 00:46:39]  И сколько таких успешных?
[00:46:39 --> 00:46:41]  Да, ребята, сколько все в группе было.
[00:46:41 --> 00:46:44]  Ну вот было четверо.
[00:46:44 --> 00:46:46]  Вот.
[00:46:46 --> 00:46:48]  Ну, двое точно.
[00:46:48 --> 00:46:51]  Вот, небольшая группа была, так что человек.
[00:46:51 --> 00:46:52]  Да, да, точно.
[00:46:52 --> 00:46:53]  Вот, ну, отлично.
[00:46:53 --> 00:46:56]  Остальные попробовали, и у них не получилось,
[00:46:56 --> 00:46:58]  или просто не пробовали или отложили.
[00:46:58 --> 00:47:00]  Ну, знаешь, когда сам обедет,
[00:47:00 --> 00:47:04]  здесь какая-то, самое главное проблема.
[00:47:04 --> 00:47:06]  Здесь надо работать.
[00:47:06 --> 00:47:07]  Вот.
[00:47:07 --> 00:47:08]  То есть надо работать.
[00:47:08 --> 00:47:09]  Родиться.
[00:47:09 --> 00:47:10]  То есть так не получится.
[00:47:10 --> 00:47:11]  Вот.
[00:47:11 --> 00:47:13]  Я там недельку работал,
[00:47:13 --> 00:47:15]  там денег заработывал и всё нет.
[00:47:15 --> 00:47:17]  Это такой, это уже как иоброзжизненный такой.
[00:47:17 --> 00:47:19]  То есть надо постоянно работать.
[00:47:19 --> 00:47:20]  Вот.
[00:47:20 --> 00:47:22]  И над собой, потому что, так все,
[00:47:22 --> 00:47:24]  это будет с одной стороны, как и просто.
[00:47:24 --> 00:47:26]  Но на самом деле, и не просто.
[00:47:26 --> 00:47:27]  Вот.
[00:47:27 --> 00:47:28]  По тех, кто ничего, подпиходит.
[00:47:28 --> 00:47:29]  У них там никакого.
[00:47:29 --> 00:47:31]  Grove, приходит.
[00:47:31 --> 00:47:32]  понимание.
[00:47:32 --> 00:47:36]  Ты начинаешь, как бы это у кого-то чувствовать.
[00:47:36 --> 00:47:40]  Вот, с какой скоростью крутить, как крутить.
[00:47:40 --> 00:47:43]  Вот, где-то посильнее, где-то послабже.
[00:47:43 --> 00:47:46]  Вот, вот, опять же, никто сторонну крутился.
[00:47:46 --> 00:47:47]  Вот, что же?
[00:47:47 --> 00:47:50]  Ну, скажи, семинар сильно помог тебе.
[00:47:50 --> 00:47:52]  Вот, если есть семинара, бы стартовал.
[00:47:52 --> 00:47:56]  Но, было бы, наверное, сложнее, намного, потому что все-таки,
[00:47:56 --> 00:47:59]  все понятно, доходчиво все объясняют.
[00:47:59 --> 00:48:01]  Это не просто теория.
[00:48:01 --> 00:48:02]  Это же на практике.
[00:48:02 --> 00:48:05]  Мы реально по коптиле в камере.
[00:48:05 --> 00:48:07]  Мы с душкой обосусами накрутили.
[00:48:07 --> 00:48:09]  Потом сам её и съели.
[00:48:09 --> 00:48:10]  Вот.
[00:48:10 --> 00:48:11]  Поняли, что получилось.
[00:48:11 --> 00:48:12]  Да, понял, что получилось.
[00:48:12 --> 00:48:13]  Вот.
[00:48:13 --> 00:48:19]  Поэтому, да, это очень полезные истории, особенно для начинающих.
[00:48:19 --> 00:48:24]  Но мне тоже даже сейчас интересно, как бы съездить.
[00:48:24 --> 00:48:27]  И, да, не думали, семинар, там, по борь�емся по-эйте.
[00:48:27 --> 00:48:29]  Конечно.
[00:48:29 --> 00:48:30]  Надо съездить.
[00:48:30 --> 00:48:34]  Мы же, я рассказывал, взяли крутой кутер.
[00:48:34 --> 00:48:39]  Вот, толс, замелем 4 с и себе в лабораторию поставили.
[00:48:39 --> 00:48:40]  Сколько литро?
[00:48:40 --> 00:48:42]  Там немного литродуат с помаемой.
[00:48:42 --> 00:48:43]  Ну, да, маленький.
[00:48:43 --> 00:48:44]  Моленький.
[00:48:44 --> 00:48:46]  Вот, ну, зато удаленький.
[00:48:46 --> 00:48:48]  Хорошо, вот, это качество накрутят.
[00:48:48 --> 00:48:50]  И, в принципе, хорошего варенка, они уже можно делать.
[00:48:50 --> 00:48:51]  Это варенка, да.
[00:48:51 --> 00:48:52]  Да, да.
[00:48:52 --> 00:48:56]  Скажем так, это будет так, а уже профессиональная, профессиональная варенка.
[00:48:56 --> 00:48:59]  Вот, варенку можно сделать и без кутеры.
[00:48:59 --> 00:49:00]  Ну, в принципе, да.
[00:49:00 --> 00:49:04]  Вот, потому что вот, ребята, знаете, вы умеете, как ты будешь.
[00:49:04 --> 00:49:06]  Два раза на мясорубки мелко перегрущивает.
[00:49:06 --> 00:49:08]  Ну, вот, ну, это такая история.
[00:49:08 --> 00:49:14]  Вот, ну вот, если ребят у меня знакомый, они марта Дэлл, делают без кутеры.
[00:49:14 --> 00:49:15]  Вот, обычно.
[00:49:15 --> 00:49:17]  Да, на обычными мясорубки.
[00:49:17 --> 00:49:20]  А, мотадыла сейчас популято, на то, да, да, да, да, да.
[00:49:20 --> 00:49:27]  Утолянский тренд, там толс, так, львите покупают глазами, так вот, разумир там.
[00:49:27 --> 00:49:32]  Я делал вот такую колбасу, у дровно шприц, отдакал бассинов, вот такая.
[00:49:32 --> 00:49:35]  Вот такого диаметра, она сейкилогранцела.
[00:49:35 --> 00:49:36]  Да, да, да, да, да, да.
[00:49:36 --> 00:49:38]  Убассина, она даже в камеру вот так вот не влезала.
[00:49:38 --> 00:49:41]  Я ее калал, ну понятно, ее не подвесить, потому что, ну, ну, семкилогрогрогрогрогрогрогрог.
[00:49:41 --> 00:49:44]  А, у нас подвешивают, ребята, итальянцы делают подвешивают.
[00:49:44 --> 00:49:46]  Я ее кал, на решетку.
[00:49:46 --> 00:49:49]  И вот так, мы делали зараз три штуки, вот таких дел.
[00:49:49 --> 00:49:53]  Мы готовились к...
[00:49:53 --> 00:49:54]  Ярморки какой-то, наверное.
[00:49:54 --> 00:49:57]  Виноград, Винный у нас там фестиваль проводит в обскоре.
[00:49:57 --> 00:50:03]  И к нему делали специально у нас есть друг, такой, который делает доски.
[00:50:03 --> 00:50:06]  Вот, саш приносит доску покажи.
[00:50:06 --> 00:50:09]  Вот, сделан нам такой доску классную.
[00:50:09 --> 00:50:14]  Мы колбаску доположили, вынесли, порезали всех угощали.
[00:50:14 --> 00:50:16]  Ну, такой шоу, небольшого шоу, устроили, классную.
[00:50:16 --> 00:50:17]  На робосисле.
[00:50:17 --> 00:50:20]  Да, народ был счастлив, ну вот и наши девочки продавцы.
[00:50:20 --> 00:50:22]  Давайте мы тоже здесь будем такую продавать.
[00:50:22 --> 00:50:25]  Давайте попробуем, звонят меня, побед.
[00:50:25 --> 00:50:28]  У нас колбаса уже, кодчилась, мы уже все продали.
[00:50:28 --> 00:50:31]  Я сейчас портодел его, пускай эти серина, постоянно.
[00:50:31 --> 00:50:32]  Нет, мы не выпускаем.
[00:50:32 --> 00:50:34]  А вот, кстати, доска.
[00:50:34 --> 00:50:35]  Да, и отмортодел, да.
[00:50:35 --> 00:50:36]  Да.
[00:50:37 --> 00:50:40]  Это как это сама, делал, ты какая-то, да.
[00:50:40 --> 00:50:41]  Ты я с ним?
[00:50:41 --> 00:50:42]  Я с ним?
[00:50:42 --> 00:50:44]  Ну, лап, делал, ты, я, для игры.
[00:50:44 --> 00:50:46]  Да, да, да, да, да.
[00:50:46 --> 00:50:49]  Вот и вот это такая классная доска.
[00:50:49 --> 00:50:51]  Мы на ней выносим алемортоделу.
[00:50:51 --> 00:50:53]  Вот и режем.
[00:50:53 --> 00:50:57]  Ну, люди нравятся глазами, да, да, да, да, да, да, да, да, да, да, да.
[00:50:57 --> 00:50:58]  Ва-берханав вкусное.
[00:50:58 --> 00:51:01]  Вот, она, да, натуральная.
[00:51:01 --> 00:51:06]  Там все, то, только натуральная спеца, мясо, как бы, там ничего лишнего нет.
[00:51:06 --> 00:51:08]  Слушай, я расскажу, именц мы, в Ярмах, как-то,
[00:51:08 --> 00:51:11]  как у тебя, фестивалях местных лакальных.
[00:51:11 --> 00:51:15]  Конечно, конечно, обязательно именц мысл, потому что это,
[00:51:15 --> 00:51:19]  ну, первое, уже на Ваймозбранда, твоего, вот и второй,
[00:51:19 --> 00:51:21]  как бы, ну, это дополнительный продажи.
[00:51:21 --> 00:51:22]  Но мы больше не пойем.
[00:51:22 --> 00:51:28]  Потому что я уже не могу, я устал замарнутили.
[00:51:28 --> 00:51:29]  Да, да.
[00:51:29 --> 00:51:34]  Нет, ну, конечно, если пригласят там, вот, правительство,
[00:51:34 --> 00:51:37]  вскопского, будет все на случай часто приглашает.
[00:51:37 --> 00:51:39]  Вот, это называется прощитом.
[00:51:39 --> 00:51:41]  Ичетное, нечетное, да.
[00:51:41 --> 00:51:43]  Вот, сейчас моё врасход.
[00:51:43 --> 00:51:47]  Вот, потому что она, потянет за это, может, оборваться,
[00:51:47 --> 00:51:48]  сделать тонкую, поэтому...
[00:51:49 --> 00:51:51]  Все, все, кирбашка.
[00:51:54 --> 00:51:56]  Слушай, а, и, значит, она была идея, например,
[00:51:56 --> 00:51:57]  делает на продажу, вообще, например,
[00:51:57 --> 00:52:01]  без не-3 соль, без каких-то функциональных добавок,
[00:52:01 --> 00:52:03]  что в чисто мясо и, как он...
[00:52:03 --> 00:52:04]  Конечно, конечно.
[00:52:04 --> 00:52:05]  Мы через это прошли.
[00:52:05 --> 00:52:06]  Канни.
[00:52:06 --> 00:52:08]  И по серой продукции, на туалет.
[00:52:08 --> 00:52:10]  Ну и быстро.
[00:52:10 --> 00:52:11]  Мы через это прошли.
[00:52:11 --> 00:52:15]  Вот, мы думаем, будем делать вот это честно,
[00:52:15 --> 00:52:17]  но и такую колбасу, снатурально.
[00:52:17 --> 00:52:19]  Да, это короче, миф,
[00:52:19 --> 00:52:22]  самый большой миф из-за був ждения,
[00:52:22 --> 00:52:24]  потому что это так делать нельзя.
[00:52:24 --> 00:52:25]  Вот.
[00:52:25 --> 00:52:28]  Если делаешь для себя на кухне, это еще годится, да.
[00:52:28 --> 00:52:31]  На кухне в духовочке приготовил, да, к залтам карбанатчик.
[00:52:31 --> 00:52:33]  И то оттёк, может, получить.
[00:52:33 --> 00:52:36]  Да, может, вот, получить оттёк.
[00:52:36 --> 00:52:40]  Вот, поэтому эксперименты такие делать не нужно,
[00:52:40 --> 00:52:42]  даже для себя, для дома, пожалуйста.
[00:52:42 --> 00:52:46]  Вот, если ты делаешь на продажу, чтобы никого не дай бог не травить,
[00:52:46 --> 00:52:50]  вот, поэтому, то есть нужны какие-то базовые спецы.
[00:52:50 --> 00:52:51]  Конечно, конечно, как.
[00:52:51 --> 00:52:53]  Ну, самое главное, это не тридтосоль.
[00:52:53 --> 00:52:54]  Вот, надо только ее использовать.
[00:52:54 --> 00:52:55]  Она цвет дает.
[00:52:55 --> 00:52:59]  Она цвета, и обезопасивает продукт.
[00:52:59 --> 00:53:01]  Был, больонные оттёки, да.
[00:53:01 --> 00:53:02]  Это...
[00:53:02 --> 00:53:08]  Они происходит довольно-таки часто и по многим причинам, да.
[00:53:08 --> 00:53:13]  Вот, это и осадка, не была сделана,
[00:53:13 --> 00:53:17]  или слишком короткое время было.
[00:53:17 --> 00:53:19]  Это жирная сериала, опять же.
[00:53:19 --> 00:53:24]  Вот, это кто-то ошибся, как у нас были случаи.
[00:53:24 --> 00:53:27]  Я, потом уже по камере, нахшел.
[00:53:27 --> 00:53:30]  Ну, у нас получается 10 килограмм, гостраем, гостраем, гостраем, гостраем.
[00:53:30 --> 00:53:33]  Вымешили колбасу.
[00:53:33 --> 00:53:34]  Вот.
[00:53:34 --> 00:53:36]  Здесь рваная, немножко.
[00:53:36 --> 00:53:36]  Не страшно.
[00:53:36 --> 00:53:38]  Вымешили колбасу.
[00:53:38 --> 00:53:42]  Я, когда вымешиваю, то мешаю и понимаю,
[00:53:42 --> 00:53:45]  что фарш как-то плохо связывается.
[00:53:45 --> 00:53:48]  Ну, почему-то не придал этому значению.
[00:53:48 --> 00:53:51]  Но сейчас, я уже конечно, таким опытом уже выполнил,
[00:53:51 --> 00:53:52]  что что-то не так.
[00:53:52 --> 00:53:53]  Стал смотреть камеру.
[00:53:54 --> 00:54:02]  Вот, и на 6-отрудник на 10 килограмм положил на спец и соли совсем чуть-чуть.
[00:54:02 --> 00:54:05]  Даже вот там не знаю, может быть, грамп 5 всего.
[00:54:05 --> 00:54:12]  Выяснилось, я печатаю такие те карты для выпуска.
[00:54:13 --> 00:54:14]  И там есть столбик.
[00:54:15 --> 00:54:19]  Вес спецы на килограмм и вообще.
[00:54:19 --> 00:54:22]  Ну вот он, собственно, посмотрел на килограмм.
[00:54:22 --> 00:54:28]  И, мы с того, что на спецы на лучевес, где я получил целую раму брака.
[00:54:28 --> 00:54:31]  Вот, вот, собственно, бульонный тек тоже может быть,
[00:54:31 --> 00:54:34]  потому что фарш не связался, ничего не получилось.
[00:54:34 --> 00:54:37]  Вот, я ему получил его просто как лечено.
[00:54:37 --> 00:54:42]  А благодаря какому-нибудь, какой спец и фарш связывается или функциональный дабавки?
[00:54:42 --> 00:54:45]  Да их много, но в основном это фасфаток.
[00:54:45 --> 00:54:47]  Вот, не ты, фасфаток.
[00:54:47 --> 00:54:48]  Да, не тридцать, не тридцать.
[00:54:48 --> 00:54:53]  То есть их не обязательно классе много, но достаточно количество их обязательно было.
[00:54:53 --> 00:54:55]  Да, вы будете сделать на продажу.
[00:54:55 --> 00:54:56]  Конечно, обязательно.
[00:55:04 --> 00:55:14]  Рамы не полны здесь.
[00:55:14 --> 00:55:17]  На сполчается 50 килограмм.
[00:55:17 --> 00:55:21]  Вот, но, на сегодня этого достаточно.
[00:55:24 --> 00:55:26]  Так, не забываю в отключуп.
[00:55:34 --> 00:55:43]  Первый этап, прогрев при закрытой заслонке.
[00:55:43 --> 00:55:45]  Дечаем программу.
[00:55:45 --> 00:55:49]  На самом деле называется сосиски ребра.
[00:55:49 --> 00:55:50]  И запускаю.
[00:55:53 --> 00:55:55]  Через два часа колбаса будет готова.
[00:56:05 --> 00:56:07]  Александр, я смотрю, что у вас довольно красиво,
[00:56:07 --> 00:56:10]  очень упаково на продукцию, раскрытие как вот такую получить.
[00:56:11 --> 00:56:16]  Это обычный, обычный для производства.
[00:56:16 --> 00:56:20]  Вакомный пакет не очень толстый по количеству микрон.
[00:56:20 --> 00:56:23]  Это, он принципиален тем, что это термосадочный пакет.
[00:56:23 --> 00:56:29]  Ты что, выкладываете, готова продукцию в пакет вакууматер?
[00:56:29 --> 00:56:31]  А затем к термотам к лебалу.
[00:56:31 --> 00:56:35]  Ваком он не стал, можно обучным кастрюйски питком.
[00:56:35 --> 00:56:36]  Чепсанный.
[00:56:36 --> 00:56:37]  И на просушку.
[00:56:37 --> 00:56:41]  И вот он приобретает такую красивую структуру текстуру.
[00:56:41 --> 00:56:44]  Вильно, прям весь продукт, как вот он есть.
[00:56:44 --> 00:56:45]  И, например, деревенскую краковскую клуба,
[00:56:45 --> 00:56:48]  сможет упаковывать тоже таким же образом,
[00:56:48 --> 00:56:50]  отдельный индивидуальный пакеты.
[00:56:50 --> 00:56:51]  Красиво, так вот, обжимает.
[00:56:51 --> 00:56:54]  Мне очень интересно, я когда пришел,
[00:56:54 --> 00:56:56]  с разуметелось, что здесь прямо красиво написано,
[00:56:56 --> 00:56:58]  сделан на псковской земле.
[00:56:58 --> 00:57:00]  Это, например, написано с гордостью,
[00:57:00 --> 00:57:04]  прям так, ну, основательно, каким-то еще интересным таким шристом.
[00:57:04 --> 00:57:05]  Ясно.
[00:57:05 --> 00:57:09]  Вот, скажите, что это история, вот этого, как бы,
[00:57:09 --> 00:57:11]  значка, такого, сделан на псковской земле.
[00:57:11 --> 00:57:12]  Это вы придумали или...
[00:57:12 --> 00:57:13]  Это творчество Антона.
[00:57:13 --> 00:57:13]  Да.
[00:57:13 --> 00:57:16]  Это, чтобы обращать внимание, потребительно,
[00:57:16 --> 00:57:18]  на то, что это продукт, который делает здесь,
[00:57:18 --> 00:57:21]  отмешно, и, например, при производстве.
[00:57:21 --> 00:57:22]  Меня, например, очень сопляет,
[00:57:22 --> 00:57:24]  то, что вот, чё, который написал,
[00:57:24 --> 00:57:26]  он уважает, что место где он живет,
[00:57:26 --> 00:57:28]  где он производит.
[00:57:28 --> 00:57:30]  И это, в принципе, для, так сказать,
[00:57:30 --> 00:57:32]  русского человека не всегда так.
[00:57:32 --> 00:57:33]  То есть, не всегда мы ценим,
[00:57:33 --> 00:57:36]  то место, где мы живем, то, что мы делаем,
[00:57:36 --> 00:57:38]  то, что делают наши сатечистыми,
[00:57:38 --> 00:57:39]  так сказать.
[00:57:39 --> 00:57:41]  И здесь, это не особенно приятно,
[00:57:41 --> 00:57:44]  вот, когда я вижу подобное подобное уважение
[00:57:44 --> 00:57:47]  к собственному труду, и к месту, где, где, где чё?
[00:57:47 --> 00:57:48]  А я родине, конечно.
[00:57:48 --> 00:57:51]  Будь то мало, и родина, либо то место, где-то сейчас
[00:57:51 --> 00:57:53]  находишься, или имеешь свой бизнес.
[00:57:53 --> 00:57:54]  Да.
[00:57:54 --> 00:57:56]  Да, отличительная черта, она всегда,
[00:57:56 --> 00:57:58]  что я должна присутствовать на продуктах,
[00:57:58 --> 00:58:00]  не очень массового производства.
[00:58:00 --> 00:58:03]  Это у вас деревенская колбаса, да?
[00:58:03 --> 00:58:05]  Это деревенская колбаса, на вкусу,
[00:58:05 --> 00:58:08]  похожая на ту советскую одетскую,
[00:58:08 --> 00:58:09]  которая была, она не очень чесно,
[00:58:09 --> 00:58:11]  она и отводлечит в крайнской,
[00:58:11 --> 00:58:15]  но у нее достаточно крупные помоу мяса,
[00:58:15 --> 00:58:17]  с жиринками,
[00:58:17 --> 00:58:20]  отчет ли, вовидными внутри на среде.
[00:58:20 --> 00:58:22]  Промало, уют на пятёрке получается.
[00:58:22 --> 00:58:24]  Так, и тут мы с карбанат, да?
[00:58:24 --> 00:58:26]  Карейка, да, Карейка.
[00:58:26 --> 00:58:29]  Ну, карейка карбанат, это сути одна этаж.
[00:58:29 --> 00:58:31]  Это цель на мышечный кусок,
[00:58:31 --> 00:58:34]  мясной, которые целиком вот здесь,
[00:58:34 --> 00:58:37]  тарец, можно увидеть, можно посмотреть на большой.
[00:58:37 --> 00:58:40]  Кусол, так вот, виски, в грамотвана, и надо.
[00:58:40 --> 00:58:43]  Около того, да, два, два, два с половиной бывает.
[00:58:43 --> 00:58:45]  То есть вот по такому куску можно сделать
[00:58:45 --> 00:58:51]  выбор, то там мясо прошло какую-то промышленную обработку,
[00:58:51 --> 00:58:52]  потому что мы можем предположить
[00:58:52 --> 00:58:58]  и иногда наблюдаем в магазинах кускки карбаната или карейки,
[00:58:58 --> 00:59:00]  который слишком ровная.
[00:59:00 --> 00:59:01]  Слишком сдулые, и как раз-то.
[00:59:01 --> 00:59:04]  Думаю, изнутри их разрезали на четыре части,
[00:59:04 --> 00:59:06]  сделали такие ровные прямоугольники.
[00:59:06 --> 00:59:11]  Или слишком круглые, когда раздутые кладут в кроковую форму,
[00:59:11 --> 00:59:13]  что даже они такие красивые.
[00:59:13 --> 00:59:17]  А здесь, правильно, что ли, есть, это видно, что.
[00:59:17 --> 00:59:19]  Талщина, разная поверхность рейдлея,
[00:59:19 --> 00:59:20]  это как раз переехать.
[00:59:20 --> 00:59:22]  Припросолки, сколько процентов закачиваете,
[00:59:22 --> 00:59:24]  раз solo внутрь примерно.
[00:59:24 --> 00:59:26]  Просенда в 15, наверное, да?
[00:59:26 --> 00:59:29]  15, 20, 15, 20 процентов, не екара.
[00:59:29 --> 00:59:34]  Ищите, теряется на термичке и получается плюсом там 3,5, 10 процентов,
[00:59:34 --> 00:59:35]  да?
[00:59:35 --> 00:59:37]  То есть этот максимальный дральник, вреда.
[00:59:37 --> 00:59:40]  Ну, до 30 процентов, если мы качаем, то можно как раз это делать
