[00:00:00 --> 00:00:06]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[00:39:48 --> 00:39:50]  для увеличения срокогодности,
[00:39:50 --> 00:39:51]  теквод,
[00:39:51 --> 00:39:54]  консервация, банальная консервация.
[00:39:54 --> 00:39:57]  Так вот, у нас в Сортименте в нашем подфолье
[00:39:57 --> 00:39:58]  существует дым,
[00:39:58 --> 00:39:59]  который не имеет,
[00:39:59 --> 00:40:01]  скажем так, аромата,
[00:40:01 --> 00:40:02]  не имеет вкуса,
[00:40:02 --> 00:40:04]  но может работать, как антимикробный
[00:40:04 --> 00:40:06]  агент, продлевая срокогодности,
[00:40:06 --> 00:40:06]  продукта,
[00:40:06 --> 00:40:08]  вакумную поковки.
[00:40:08 --> 00:40:09]  Почему?
[00:40:09 --> 00:40:12]  Ну, типа, да, либо применение с инитарного
[00:40:12 --> 00:40:14]  копчения, либо просто на просто внесение
[00:40:14 --> 00:40:16]  его, либо фашевую систему,
[00:40:16 --> 00:40:17]  либо внутрь упаковки,
[00:40:17 --> 00:40:20]  ну, в определенном количестве есть есть она.
[00:40:20 --> 00:40:21]  В какой?
[00:40:21 --> 00:40:22]  Да.
[00:40:22 --> 00:40:23]  Да.
[00:40:23 --> 00:40:24]  Ну, лучше ваком, потому что, когда мы
[00:40:24 --> 00:40:26]  выкумируем, у нас вот эта капля,
[00:40:26 --> 00:40:28]  а вносится 1% к
[00:40:28 --> 00:40:31]  у массе продукта, укладываю в
[00:40:31 --> 00:40:32]  ваковку.
[00:40:32 --> 00:40:33]  У нас получается, что он так,
[00:40:33 --> 00:40:34]  как бы равномерно ваком,
[00:40:34 --> 00:40:36]  распределяет и ломимирует,
[00:40:36 --> 00:40:37]  всю поверхность и тем самым,
[00:40:37 --> 00:40:39]  знаете, как, да, мы проводили
[00:40:39 --> 00:40:40]  достаточно большие исследования,
[00:40:40 --> 00:40:41]  с в ним,
[00:40:41 --> 00:40:43]  и с другими предприятиями, которые
[00:40:43 --> 00:40:45]  испытывали продукту себя,
[00:40:45 --> 00:40:46]  полностью,
[00:40:46 --> 00:40:47]  скажем так,
[00:40:47 --> 00:40:48]  умершфления,
[00:40:48 --> 00:40:50]  по-таки, на микрофлоры не происходит,
[00:40:50 --> 00:40:52]  но происходит подавление
[00:40:52 --> 00:40:53]  и уже изнедительности.
[00:40:53 --> 00:40:55]  То есть она не развивается,
[00:40:55 --> 00:40:57]  они становятся стерильными на тот момент.
[00:41:01 --> 00:41:07]  Вознайте, все, что я могу сказать,
[00:41:07 --> 00:41:09]  в состав этого дыма входит
[00:41:09 --> 00:41:12]  одна из фракция активируемного угля.
[00:41:12 --> 00:41:14]  По сути, это близко, это близко,
[00:41:14 --> 00:41:16]  кто к тому химическую или мету,
[00:41:16 --> 00:41:17]  который вы назвали.
[00:41:17 --> 00:41:20]  Там идет просто более высокая
[00:41:20 --> 00:41:22]  концентрация финальных соединений,
[00:41:22 --> 00:41:23]  финалы,
[00:41:23 --> 00:41:23]  да,
[00:41:23 --> 00:41:24]  вот,
[00:41:24 --> 00:41:26]  поэтому,
[00:41:26 --> 00:41:28]  я еще про негативные
[00:41:28 --> 00:41:29]  опыта с пользованием
[00:41:29 --> 00:41:29]  преджедких домов,
[00:41:29 --> 00:41:30]  расскажу немножко,
[00:41:30 --> 00:41:32]  вот отвечая на ваш вопрос.
[00:41:32 --> 00:41:36]  Ведь жидкий дым можно по-разному,
[00:41:36 --> 00:41:38]  как бы добавить в виде копчения,
[00:41:38 --> 00:41:38]  и,
[00:41:38 --> 00:41:39]  изначально, он использовал
[00:41:39 --> 00:41:39]  вопрос,
[00:41:39 --> 00:41:41]  описать все душ.
[00:41:41 --> 00:41:42]  Душ шаркнул,
[00:41:42 --> 00:41:43]  как бы душ мы все моимися,
[00:41:43 --> 00:41:44]  там,
[00:41:44 --> 00:41:45]  в души,
[00:41:45 --> 00:41:45]  да,
[00:41:45 --> 00:41:47]  и технология душируема,
[00:41:47 --> 00:41:48]  не жидким дымом,
[00:41:48 --> 00:41:50]  называется дренчинг.
[00:41:50 --> 00:41:51]  И изначально именно
[00:41:51 --> 00:41:52]  этой технологии использовалась,
[00:41:52 --> 00:41:53]  на тревнем немецке камерах
[00:41:53 --> 00:41:55]  была прям опция,
[00:41:55 --> 00:41:56]  домогенерата фрикционной,
[00:41:56 --> 00:41:56]  щиповой,
[00:41:56 --> 00:41:58]  либо дренчинг.
[00:41:58 --> 00:42:00]  Никто отомизацию не использоваться,
[00:42:00 --> 00:42:01]  в принципе,
[00:42:01 --> 00:42:03]  пришла не так давно там 15-20 лет назад.
[00:42:03 --> 00:42:05]  Изначально использовался дренчинг.
[00:42:05 --> 00:42:07]  И это просто по сути,
[00:42:07 --> 00:42:08]  форсунка полевала,
[00:42:08 --> 00:42:10]  вот как душа,
[00:42:10 --> 00:42:11]  вот продукцию.
[00:42:11 --> 00:42:13]  И продукция кислила,
[00:42:13 --> 00:42:15]  продукция не имела
[00:42:15 --> 00:42:18]  именно классического запаха копчения.
[00:42:18 --> 00:42:19]  Проблемы была еще в том,
[00:42:19 --> 00:42:21]  что если эту продукцию по каулю вакуум,
[00:42:21 --> 00:42:23]  она реально ваняла при открытии вакуума,
[00:42:23 --> 00:42:24]  то есть это уже,
[00:42:24 --> 00:42:25]  это это прямо проблема,
[00:42:25 --> 00:42:29]  и в том числе из этого технологии
[00:42:29 --> 00:42:31]  использования жидких дымов была дискредитированна.
[00:42:32 --> 00:42:33]  Вот.
[00:42:33 --> 00:42:34]  В том числе,
[00:42:34 --> 00:42:35]  если мы говорим про рыбу, например,
[00:42:35 --> 00:42:37]  есть супер эффективно
[00:42:37 --> 00:42:38]  этих технологий традиционного
[00:42:38 --> 00:42:40]  холодного копчения рыбы,
[00:42:40 --> 00:42:44]  когда вы с помощью жидких дымных концентратов
[00:42:44 --> 00:42:47]  не коптите целиком дым рыбу.
[00:42:47 --> 00:42:49]  А рыбу просто окунаете буквально
[00:42:49 --> 00:42:51]  на несколько секунд,
[00:42:51 --> 00:42:53]  там 15-20 секунд,
[00:42:53 --> 00:42:55]  она не получает цвета,
[00:42:55 --> 00:42:58]  не большой, чуть-чуть не большой цвет,
[00:42:58 --> 00:42:59]  пову чуть-чуть.
[00:42:59 --> 00:43:01]  И она чуть-чуть пребретает ароматики,
[00:43:01 --> 00:43:03]  но она является как бы грунтом,
[00:43:03 --> 00:43:06]  для того, чтобы цвет настоящего копчения,
[00:43:06 --> 00:43:07]  но там традиционного копчения,
[00:43:07 --> 00:43:08]  лег быстрее.
[00:43:08 --> 00:43:11]  Да, комбинированное.
[00:43:11 --> 00:43:14]  И если использовать именно грамотную технологию,
[00:43:14 --> 00:43:16]  использованием дымных концентратов,
[00:43:16 --> 00:43:19]  вы получаете супер эффективный результат.
[00:43:19 --> 00:43:21]  И здесь не на одном из этапов,
[00:43:21 --> 00:43:25]  вы не используете никакую левую химию, понимаете?
[00:43:25 --> 00:43:26]  И то, на самое мы в копчении
[00:43:26 --> 00:43:28]  можно использовать техничность,
[00:43:28 --> 00:43:29]  понимаете?
[00:43:29 --> 00:43:31]  Вот, и при текстуем результатом,
[00:43:31 --> 00:43:32]  максимальной эффективном,
[00:43:32 --> 00:43:36]  и то есть, если мы используем окунане окунане,
[00:43:36 --> 00:43:40]  то у нас с копчения с 4-6 сокращается до полутора.
[00:43:40 --> 00:43:42]  А копчения на щипе это традиционная,
[00:43:42 --> 00:43:43]  это супер дорогой процесс,
[00:43:43 --> 00:43:46]  с копчения рыбы, то же самое с комборее.
[00:43:46 --> 00:43:49]  Вот, и другой крайний вариант,
[00:43:49 --> 00:43:52]  когда не используется технология неправильная,
[00:43:52 --> 00:43:54]  когда окунает ни на 30 секунд,
[00:43:54 --> 00:43:56]  а на минуты там 2-3-5,
[00:43:56 --> 00:43:58]  тогда рыбы получается цветом,
[00:43:58 --> 00:44:01]  но она начинает горчить.
[00:44:01 --> 00:44:02]  Но она просто кислит горчиты,
[00:44:02 --> 00:44:05]  она набирает себя слишком много вот этих вот компонентов,
[00:44:05 --> 00:44:07]  которые вы рыбе быть не должны понимаете?
[00:44:07 --> 00:44:11]  То есть, весь день нужно в нужен грамотный подход техниологический,
[00:44:11 --> 00:44:14]  нужен технологический партнер грамотный, который проведет
[00:44:14 --> 00:44:16]  у вас, потому пути для того,
[00:44:16 --> 00:44:16]  чтобы вы не наступали,
[00:44:16 --> 00:44:20]  я начинаю на чужие шишки, на чужие ошибки.
[00:44:20 --> 00:44:22]  Роман маленькая поправка,
[00:44:22 --> 00:44:25]  маленькая комментарий по поводу дренчинга.
[00:44:25 --> 00:44:29]  На самом деле это одна из разновидности применения жидких дымов,
[00:44:29 --> 00:44:31]  дымных концентратов,
[00:44:31 --> 00:44:33]  она более распространена на территории,
[00:44:33 --> 00:44:37]  где бизнес глубоком я с первой работки,
[00:44:37 --> 00:44:40]  диверсифицирован, в частности это США.
[00:44:40 --> 00:44:40]  Почему так?
[00:44:40 --> 00:44:44]  Потому что возвращаюсь к выму рассказывал,
[00:44:44 --> 00:44:47]  тогда, когда производительный с камеры две тонны в час,
[00:44:47 --> 00:44:49]  на самом деле там 5,5 ловины тонн в час,
[00:44:49 --> 00:44:52]  я понял, как он предприятие ты говоришь,
[00:44:52 --> 00:44:55]  вот именно в таких машинах применяется технология дренчинга,
[00:44:55 --> 00:44:56]  что такое дренчинга.
[00:44:56 --> 00:45:00]  Это тогда, когда мы применяем дымный концентрат неноводная основе,
[00:45:00 --> 00:45:04]  а наводная основе с кульученным внутрь и мульгатором,
[00:45:04 --> 00:45:05]  что это позволяет делать?
[00:45:05 --> 00:45:08]  Мульгатор в данном случае является полисарбат.
[00:45:08 --> 00:45:10]  Что он позволяет делать?
[00:45:10 --> 00:45:13]  Он позволяет поддерживать определенную концентрацию
[00:45:13 --> 00:45:16]  жира и белка, который естественным путем смывается
[00:45:16 --> 00:45:18]  с продуктов, а время дренчинга.
[00:45:18 --> 00:45:21]  Дренчинка это обливание, либо погружение продукта,
[00:45:21 --> 00:45:23]  вот в этот раствор.
[00:45:23 --> 00:45:26]  Сотвестно, это технология не самое распространенное в России,
[00:45:26 --> 00:45:28]  но мы в любом случае о нем говорим,
[00:45:28 --> 00:45:31]  потому что камер, который можно перечтать на пальцах,
[00:45:31 --> 00:45:32]  они в России существуют.
[00:45:32 --> 00:45:35]  Она очень производительная это технология.
[00:45:35 --> 00:45:37]  Процесска общения занимает на самом деле
[00:45:37 --> 00:45:42]  небольшая 30-40 секунд, потому что продукт находится в зоне воздействия,
[00:45:42 --> 00:45:45]  потока жидкости, да, вот эта каскада.
[00:45:45 --> 00:45:46]  Ну, не больше 30-40 секунд.
[00:45:46 --> 00:45:47]  Дальше, что нужно сделать,
[00:45:47 --> 00:45:49]  это всего лишь его нагреть,
[00:45:49 --> 00:45:50]  выше 40 градусов.
[00:45:50 --> 00:45:52]  И получается у нас эффект копчения.
[00:45:52 --> 00:45:56]  В общем, так я прошу прощению,
[00:45:56 --> 00:45:57]  вы еще не забылись в вопрос,
[00:45:57 --> 00:45:59]  бы долго ждете, либо это уже не актуальна.
[00:45:59 --> 00:46:00]  Это уже новая кнопка придумала.
[00:46:00 --> 00:46:01]  Пес-пелентон, это круто классно.
[00:46:01 --> 00:46:03]  Здесь, в Виторой, в основном, на целенах.
[00:46:03 --> 00:46:04]  Есть тесенна.
[00:46:04 --> 00:46:07]  Максим, на абсолютно я понимаю, оборву
[00:46:07 --> 00:46:09]  давайте за 115 в вашей технологии,
[00:46:09 --> 00:46:11]  стоимость средняя на всклитку.
[00:46:11 --> 00:46:13]  В любом случае, в любом случае.
[00:46:13 --> 00:46:14]  Есть тесмесл.
[00:46:14 --> 00:46:14]  Да.
[00:46:14 --> 00:46:18]  Если смысл, или мы все-таки говорим про те большие коптильни,
[00:46:18 --> 00:46:19]  которые огромные.
[00:46:19 --> 00:46:21]  Или за 115 тоже есть смысл оборудовать.
[00:46:21 --> 00:46:24]  Допустим, черте города, мы не будем использовать огромные коптильни.
[00:46:24 --> 00:46:26]  Стоответственно, за 115.
[00:46:26 --> 00:46:28]  Черте города закопили, продали.
[00:46:28 --> 00:46:31]  Чак пришёл, увидел, ребята здесь коптят супер-класс,
[00:46:31 --> 00:46:32]  и они их возьму их натурально.
[00:46:32 --> 00:46:34]  Они еще не поставят большую коптилку.
[00:46:34 --> 00:46:36]  Две, три, три, три, три за 115.
[00:46:36 --> 00:46:39]  Правильно, как я до оборудования стоимость.
[00:46:39 --> 00:46:43]  То есть, если вам нужно до оборудовать камеру,
[00:46:43 --> 00:46:45]  а ты мизатором, скажем так, да.
[00:46:45 --> 00:46:48]  Но здесь, наверное, больше самая сготавитель.
[00:46:49 --> 00:46:50]  Я сейчас не подскажу точно.
[00:46:50 --> 00:46:52]  Это думали, что это думали, что это думали,
[00:46:52 --> 00:46:54]  то есть, принеспера автоматизированный дымынират,
[00:46:54 --> 00:46:56]  мы стоит 600-700-700 тысяч.
[00:46:56 --> 00:47:00]  Если у вас есть технология на работе,
[00:47:00 --> 00:47:02]  и вы в принципе довольно,
[00:47:02 --> 00:47:04]  и у вас отработанная технология на этом.
[00:47:04 --> 00:47:06]  На эту камеру я бы может быть не стал,
[00:47:06 --> 00:47:08]  потому что стоимость мизатора,
[00:47:08 --> 00:47:10]  она примерно такая же сколько стоимость камеры.
[00:47:10 --> 00:47:13]  Но если у вас есть как вы проблематига,
[00:47:13 --> 00:47:15]  что мы жалуются на выбросы,
[00:47:15 --> 00:47:17]  и вы понимаете, что он к чему-то либо фильтраовать,
[00:47:17 --> 00:47:20]  как это дымы, либо еще что-то делать.
[00:47:20 --> 00:47:23]  То, нахцательно, сейчас появился от имезатор,
[00:47:23 --> 00:47:25]  мы еще не могу сейчас сказать его стоимость,
[00:47:25 --> 00:47:30]  но он упрощенный и удешивленный, как раз на маленькую камеру.
[00:47:30 --> 00:47:31]  Да, там нет.
[00:47:31 --> 00:47:32]  Да, 300 тысяч рублей.
[00:47:32 --> 00:47:33]  Да, да, да, да, да, да.
[00:47:33 --> 00:47:36]  Потому что такие решения не сейчас мы прообатываем,
[00:47:36 --> 00:47:39]  мы мы делаем, но очень важно заранее
[00:47:39 --> 00:47:41]  отработать технологию на тех продуктах,
[00:47:41 --> 00:47:43]  которые вы хотите, может быть у нас,
[00:47:43 --> 00:47:44]  мы бы заказать у нас сработку.
[00:47:44 --> 00:47:46]  Получить тех картоподнождь,
[00:47:46 --> 00:47:47]  я карто-будь немножко другая.
[00:47:47 --> 00:47:50]  И в этом случае уже спокойно можно использовать
[00:47:50 --> 00:47:51]  наугёт имезация.
[00:47:51 --> 00:47:53]  Но если у вас новую камеру упланирую,
[00:47:53 --> 00:47:55]  все брать-то, я бы возможно уже имеет
[00:47:55 --> 00:47:57]  смысл браться тамезатром.
[00:47:57 --> 00:48:00]  Ну, у нас слабого не проблема с экологией.
[00:48:00 --> 00:48:02]  У нас все хорошо, в этом плане.
[00:48:02 --> 00:48:03]  А вот если в городе?
[00:48:03 --> 00:48:07]  Если я перемещусь черту или в центре города,
[00:48:07 --> 00:48:08]  тогда уже будет смысл,
[00:48:08 --> 00:48:09]  конечно, если мне подскажут,
[00:48:09 --> 00:48:11]  товарищ будет добр.
[00:48:11 --> 00:48:12]  Убираемся отсюда.
[00:48:12 --> 00:48:14]  А жаллство тогда, тогда,
[00:48:14 --> 00:48:15]  тогда есть смысл задуматься,
[00:48:15 --> 00:48:16]  приобрести, я думаю.
[00:48:16 --> 00:48:17]  А как камеру у вас сейчас?
[00:48:17 --> 00:48:19]  Я сейчас сейчас зацепь с 15.
[00:48:19 --> 00:48:20]  Зацепь, да, да, да.
[00:48:20 --> 00:48:21]  Было бы неплохо, конечно,
[00:48:21 --> 00:48:23]  чтобы привезли вопросы какие-то мы взяли в вырубок.
[00:48:23 --> 00:48:26]  Он в вашем продукте,
[00:48:26 --> 00:48:27]  на это понимаю, по-рудивания,
[00:48:27 --> 00:48:29]  сюда тащить тоже проблематично.
[00:48:29 --> 00:48:30]  Как-то, все это...
[00:48:30 --> 00:48:32]  Если бы... Ну, смотрите.
[00:48:32 --> 00:48:34]  А вот это...
[00:48:34 --> 00:48:35]  Ты можно отработать вашу технологию,
[00:48:35 --> 00:48:36]  и, прям, показать всем,
[00:48:36 --> 00:48:37]  вот он от окработает,
[00:48:37 --> 00:48:39]  это органалептику, попробуйся классно, да?
[00:48:39 --> 00:48:42]  Да, наберитесь немного терпения.
[00:48:42 --> 00:48:44]  Я думаю, что первым, первым отзывам,
[00:48:44 --> 00:48:45]  с нами поделится Глеб,
[00:48:45 --> 00:48:47]  вторым отзывам, мы заказали,
[00:48:47 --> 00:48:51]  точно такой же камеру себе в лабораторию в Москву.
[00:48:51 --> 00:48:54]  У нас партнёрские отношения с компании Ижица,
[00:48:54 --> 00:48:57]  и в переспективе вы можете спокойно использовать
[00:48:57 --> 00:49:00]  наши площадку для того, чтобы прийти убедиться,
[00:49:00 --> 00:49:01]  насколько это работает способна,
[00:49:01 --> 00:49:04]  и насколько это будет старая в это вообще в ваш формат,
[00:49:04 --> 00:49:05]  скажем так, да?
[00:49:05 --> 00:49:06]  Поэтому мы открыты,
[00:49:06 --> 00:49:07]  мы к любому диалогу,
[00:49:07 --> 00:49:09]  мы только за...
[00:49:09 --> 00:49:10]  Велком.
[00:49:10 --> 00:49:11]  Ха-ха-ха-ха.
[00:49:11 --> 00:49:12]  Я села.
[00:49:12 --> 00:49:13]  Я села.
[00:49:13 --> 00:49:15]  Для технологии будущего, как товарищ говорит,
[00:49:15 --> 00:49:19]  то это получается один из неотемливых шагов,
[00:49:19 --> 00:49:21]  потому что черти города картить,
[00:49:21 --> 00:49:23]  вам ее зашить никто.
[00:49:23 --> 00:49:24]  А, в Солюк.
[00:49:24 --> 00:49:26]  Ну, в России можно все...
[00:49:26 --> 00:49:31]  Каллеги, может быть еще какие-то вопросы?
[00:49:31 --> 00:49:32]  Детали.
[00:49:32 --> 00:49:33]  Спасибо.
[00:49:38 --> 00:49:39]  Спасибо, Роман.
