[00:00:00 --> 00:00:02]  У-а-у! У-а-у!
[00:52:45 --> 00:52:50]  является тем местом, где парк донсиваются, кто
[00:52:50 --> 00:52:51]  на самом воду.
[00:52:51 --> 00:52:53]  Соответственно, если мы набираем воду на днище нашей
[00:52:53 --> 00:52:57]  камеры, в этом случае, он сложный спад.
[00:52:57 --> 00:53:00]  По этому нам нужно настроить парги, и на самом
[00:53:00 --> 00:53:06]  направлении, на таким образом, чтобы воды выделялось
[00:53:06 --> 00:53:09]  именно столько, сколько неопходимов, если здание пара,
[00:53:09 --> 00:53:10]  но не больше.
[00:53:10 --> 00:53:13]  Потому что избыточное подач воды, любому случае,
[00:53:13 --> 00:53:17]  у нас больше с процентной влажности, никогда не будет
[00:53:17 --> 00:53:18]  в камере.
[00:53:18 --> 00:53:21]  Вся лишняя вода будет ванализироваться и стекать на кл.
[00:53:21 --> 00:53:25]  Поэтому нам обязательно нужно настроить по-настоящему
[00:53:25 --> 00:53:29]  образом для того, чтобы подача воды у нас была в том
[00:53:29 --> 00:53:32]  объеме, который, который нам нужно.
[00:53:32 --> 00:53:37]  И на первом шагом, который я бы рекоменал в детске,
[00:53:37 --> 00:53:40]  когда вы получаете такая именно призвоз, это настроить
[00:53:40 --> 00:53:44]  подач воды на этой препараге, именно под ваша давления.
[00:53:44 --> 00:53:48]  Потому что у каждого системе давления в отразное давление
[00:53:48 --> 00:53:51]  должно быть двух, а в 20-ти атмосфер.
[00:53:51 --> 00:53:57]  И за этим это давление мы настраиваем пары генерацию.
[00:53:57 --> 00:54:01]  Значит, если мы перередем в сейчас вручной режим,
[00:54:01 --> 00:54:03]  вот влажность, мы сейчас видим, что влажность,
[00:54:03 --> 00:54:10]  он спомещение 52%, температура у нас помещения 20 градусов.
[00:54:10 --> 00:54:15]  И если мы нажимаем на карандашек, мы увидим, что у нас есть
[00:54:15 --> 00:54:19]  возможность либо вручную и задавать.
[00:54:19 --> 00:54:24]  Например, хотим, чтобы влажность у нас была здесь 60%
[00:54:24 --> 00:54:28]  время импульсом и здесь можно вырешную и прописать импульсом.
[00:54:28 --> 00:54:33]  Поскольку вода у нас льется 1,5 секунды, время ползовяжной импульсом и 10 секунды.
[00:54:33 --> 00:54:42]  В этом случае, когда, передет программа на этап проварки,
[00:54:42 --> 00:54:47]  если влажность будет не же 60%, то у нас будет каждые 10 секунды,
[00:54:47 --> 00:54:51]  то, что у нас будет 1,5 секунды открываться клапан подачи воды
[00:54:51 --> 00:54:54]  и будет полеваться вода на рабочих кресуйсом,
[00:54:54 --> 00:54:55]  сдаваться пар.
[00:54:55 --> 00:54:59]  Вот, если у нас этих параметрах мы заданы,
[00:54:59 --> 00:55:04]  у нас время импульсом и паузы задаются автоматически по функции.
[00:55:04 --> 00:55:07]  Это функцию, у нас настраивается вот в этом отместе.
[00:55:07 --> 00:55:11]  Значит, системы настройки параметры подачи воды.
[00:55:11 --> 00:55:21]  Здесь, висуется две функции, импульс випаузы при стаггадусах,
[00:55:21 --> 00:55:23]  импульс випаузы при нуле градусов.
[00:55:23 --> 00:55:27]  То есть, один, сейчас не буду оставаться один из нему,
[00:55:27 --> 00:55:29]  на рисунок, как это все работает,
[00:55:29 --> 00:55:32]  но из меня хотя бы вот этот параметр,
[00:55:32 --> 00:55:38]  ползов при стаггадусах мы можем ли выречивать,
[00:55:38 --> 00:55:41]  либо значительно уменьшать подачу воды.
[00:55:41 --> 00:55:44]  И вот, например, сейчас шесть, это стандартно,
[00:55:44 --> 00:55:45]  астройки.
[00:55:45 --> 00:55:47]  Если мы видим, что на основании системы маленькой,
[00:55:47 --> 00:55:49]  и нам воды не хватает, мы увеличиваем, например,
[00:55:49 --> 00:55:51]  дво семьи или до девяти.
[00:55:51 --> 00:55:52]  Если видим, что воды слишком много,
[00:55:52 --> 00:55:55]  мы увеличим, то есть, что давай, как бы,
[00:55:55 --> 00:55:58]  а в паузов, предвыда, а это пауза.
[00:55:58 --> 00:56:00]  То есть, наоборот, если мы хотим,
[00:56:00 --> 00:56:03]  чтобы воды было меньше, мы в паузу увеличиваем, например,
[00:56:03 --> 00:56:06]  до двадцати или до десяти.
[00:56:06 --> 00:56:07]  Вот.
[00:56:07 --> 00:56:09]  Но лучше увеличили там плавно, там подвапа,
[00:56:09 --> 00:56:12]  отригантусов, может быть, прибавлять и вымешать,
[00:56:12 --> 00:56:13]  и именно паузы.
[00:56:13 --> 00:56:16]  И в ртуки мы должны добиться того,
[00:56:16 --> 00:56:19]  результат, а когда, а до девяйного шкапа,
[00:56:19 --> 00:56:22]  подавися, как-то у нас идет про варка.
[00:56:22 --> 00:56:27]  Вот здесь, у нас есть вот такой вот прекрасный экранчик.
[00:56:27 --> 00:56:32]  Вот из этого экранчик у нас выливается изгытки воды.
[00:56:32 --> 00:56:36]  То есть, в случае правильной пара генерации,
[00:56:36 --> 00:56:38]  здесь идет маленькая маленькая струика.
[00:56:38 --> 00:56:40]  Вот пауза, пауза, па-ка-пельки.
[00:56:40 --> 00:56:45]  И эта струика выговорит о том, что у нас идет правильной процесс пара генерации.
[00:56:45 --> 00:56:47]  Изгыточной воды у нас не поступает.
[00:56:47 --> 00:56:48]  Если здесь идет большую поток,
[00:56:48 --> 00:56:51]  значит, нужно мешать количество подаваемой воды на фарсумку.
[00:56:51 --> 00:56:54]  И это является еще один очень важный фактором,
[00:56:54 --> 00:57:01]  для того, чтобы вы добились правильные влажности правильные дымогенерации.
[00:57:01 --> 00:57:04]  И система управления сделается, позволяет.
[00:57:06 --> 00:57:07]  Вот.
[00:57:09 --> 00:57:12]  Если сейчас остановиться еще важному моменте,
[00:57:12 --> 00:57:14]  с тем управлением, нужно начать делать,
[00:57:14 --> 00:57:20]  решили ее разработать самостоятельно и инвестирули.
[00:57:20 --> 00:57:22]  Это достаточно много сил средних денег.
[00:57:22 --> 00:57:32]  Именно потому, что если мы хотим, чтобы комплектенция наших ребят,
[00:57:32 --> 00:57:41]  который занимается копчением, расслаб и нужно удобный инструмент общения с активной камерой.
[00:57:41 --> 00:57:47]  Потому что история нас оболота к вашему используя изначальной MPR 51,
[00:57:47 --> 00:57:51]  для управления темищественной процессом.
[00:57:51 --> 00:57:57]  И сожилинене контроль в таков, что люди один раз его программируют.
[00:57:57 --> 00:58:00]  И потом просто забывают, как старашний солнтр.
[00:58:00 --> 00:58:06]  Он позволяет также создавать программы, создавать шаги.
[00:58:06 --> 00:58:08]  Но прогониваются очень сложно.
[00:58:08 --> 00:58:13]  И мы тратили там по 12 часов, чтобы люди научились пользоваться кинконтуем.
[00:58:13 --> 00:58:16]  Они забивали две программы, потом об этом забывали,
[00:58:16 --> 00:58:18]  когда вы сникали кинновые сложности новые вопросы,
[00:58:18 --> 00:58:22]  поэтому контроль вон не заняли нам, и мы опять тратили неверенными.
[00:58:22 --> 00:58:24]  Здесь никому не отказывали естественно.
[00:58:24 --> 00:58:27]  Но, собственно, было понимание того,
[00:58:27 --> 00:58:31]  что люди прежде всего, кринтово, что они тратить в нашел время,
[00:58:31 --> 00:58:34]  не сами не учится управлять собственной камерой.
[00:58:34 --> 00:58:37]  На самом деле, в вас сферию немножко изменилось,
[00:58:37 --> 00:58:39]  чуть более жирное чуть менее жирное.
[00:58:39 --> 00:58:41]  И он можно проварить либо на больше, либо на меньше,
[00:58:41 --> 00:58:43]  на меньше проценте важности.
[00:58:43 --> 00:58:45]  Если вы проходите побольше,
[00:58:45 --> 00:58:50]  сделать, чтобы пробовать более мягкие, на более деликатые,
[00:58:50 --> 00:58:52]  они могут быть меньше не у меня немножко строки,
[00:58:52 --> 00:58:54]  но если вы сразу его продадите,
[00:58:54 --> 00:58:59]  если вы не делаете, то можно проварить продуктом с офеммерким был.
[00:58:59 --> 00:59:02]  В этом случае можно именно время проваркиваемые,
[00:59:02 --> 00:59:07]  увеличить и сделать за звукально за 5 секунд в украго.
[00:59:07 --> 00:59:10]  Если вы видите, например, что хотите дыма немножко больше датин,
[00:59:10 --> 00:59:15]  на вот немножко меньше сразу же можно уменьшить программе,
[00:59:15 --> 00:59:17]  а время подачи дыма,
[00:59:17 --> 00:59:20]  то есть время копчения у вас время уменьшится.
[00:59:20 --> 00:59:25]  То есть если у вас есть возможность динамично изменять параметр программу,
[00:59:25 --> 00:59:29]  в этом случае растет профессионализм оператора.
[00:59:29 --> 00:59:32]  Он понимает, какие реально параметры, в какую сторону,
[00:59:32 --> 00:59:35]  на какие качественные характеристики продукции меняются,
[00:59:35 --> 00:59:39]  и уже максимально адапкиваются под вашего клиента,
[00:59:39 --> 00:59:42]  максимально адапкиваются под продукцию по саму камеру.
[00:59:42 --> 00:59:44]  В этом случае компетенцы человека растут.
[00:59:44 --> 00:59:47]  Если он не знает, как управлять камеры,
[00:59:47 --> 00:59:49]  нажимает кнопку, и вообще про процессы забывает,
[00:59:49 --> 00:59:52]  он не учится, он как бы не понимает,
[00:59:52 --> 00:59:56]  как по каким к ретерям происходит взаимодействие с термокамерой.
[00:59:56 --> 01:00:00]  Если мы говорим про автомодизированный термокамеру,
[01:00:00 --> 01:00:02]  то там может быть, это не всегда нужно.
[01:00:02 --> 01:00:04]  Например, технология приглашается,
[01:00:04 --> 01:00:07]  и он выстраивает программы, объясняет коптиточек,
[01:00:07 --> 01:00:08]  как с ней работать.
[01:00:08 --> 01:00:11]  И в общем-то вопрос вешем,
[01:00:11 --> 01:00:14]  но в любом случае хорошо бы оператор что-то понимал,
[01:00:14 --> 01:00:16]  какие параметр работы камеры как влияет,
[01:00:16 --> 01:00:19]  потому что если этих много в штате нет,
[01:00:19 --> 01:00:24]  то все нюансы ложатся на апперата.
[01:00:24 --> 01:00:25]  При его случае,
[01:00:25 --> 01:00:28]  поэтому подобное систему управления,
[01:00:28 --> 01:00:30]  но это реально, на мой взгляд, это правый,
[01:00:30 --> 01:00:34]  потому что она стоит совершеных меняем их денег,
[01:00:34 --> 01:00:36]  она не добавила особой себя сцебе стоимость,
[01:00:36 --> 01:00:39]  для нас, потому что разработали мы ее сами,
[01:00:39 --> 01:00:41]  подобрали качественные элементы.
[01:00:41 --> 01:00:43]  Вот одна такая систему управления про немецкого
[01:00:43 --> 01:00:44]  производства детекта,
[01:00:44 --> 01:00:47]  или и бюма она стоит про это 300 тысяч.
[01:00:47 --> 01:00:50]  А в нас целиком все это камера 400-10 тысяч стоит.
[01:00:51 --> 01:00:55]  Вот, значит, я рассказал про парагенерацию в камере,
[01:00:55 --> 01:00:58]  особенность ее про понарюправление,
[01:00:58 --> 01:01:00]  давайте мы обучу немножко пропанную управление,
[01:01:00 --> 01:01:01]  я скажу,
[01:01:01 --> 01:01:02]  вот,
[01:01:02 --> 01:01:04]  разработали ее каким образом.
[01:01:04 --> 01:01:07]  В первых она может работать как в лучшем режиме.
[01:01:07 --> 01:01:11]  В ручном режиме мы каждой шаг настроимым модель на этапе от лакки.
[01:01:11 --> 01:01:14]  Прямо еще не совсем привыкли к нашей камере,
[01:01:14 --> 01:01:16]  не совсем понимаем, что с ней делось,
[01:01:16 --> 01:01:18]  мы небольшим партию берем,
[01:01:18 --> 01:01:19]  коптим и, например,
[01:01:19 --> 01:01:22]  сушимое, мы говорим, что сушить хотим на принадленно,
[01:01:22 --> 01:01:23]  на 50 градусов,
[01:01:23 --> 01:01:26]  темкороторо продукты на основной этапе сушке не интересуют,
[01:01:26 --> 01:01:28]  влажность у нас будет моль,
[01:01:28 --> 01:01:29]  вот,
[01:01:29 --> 01:01:30]  и время сушить хотим,
[01:01:30 --> 01:01:31]  вон,
[01:01:31 --> 01:01:32]  в 30 минут.
[01:01:32 --> 01:01:33]  Вот,
[01:01:33 --> 01:01:34]  вот,
[01:01:34 --> 01:01:37]  опция от регулировка скорости вращения ментиляторов,
[01:01:37 --> 01:01:38]  процентах,
[01:01:38 --> 01:01:40]  на 100% могут им сушить и из-за пускайомдры.
[01:01:41 --> 01:01:42]  Все, процесс пошел.
[01:01:42 --> 01:01:45]  Я шаг сделал буквально на вза-действию минут,
[01:01:45 --> 01:01:48]  на процесс ка-ченье.
[01:01:50 --> 01:01:52]  О, процесс сушить и точнее.
[01:01:52 --> 01:01:54]  Я сейчас ставил на сценаю.
[01:02:00 --> 01:02:01]  Вот,
[01:02:01 --> 01:02:04]  и я в сценаю не терятовый включился.
[01:02:04 --> 01:02:11]  Вот, когда мы просушили,
[01:02:11 --> 01:02:12]  посмотрели свой корральный времени,
[01:02:12 --> 01:02:14]  занимает этот этап,
[01:02:14 --> 01:02:18]  мы можем уже зайти в программный режим,
[01:02:18 --> 01:02:21]  выбрать программы,
[01:02:21 --> 01:02:23]  создать новый рецепт,
[01:02:23 --> 01:02:25]  и здесь мы называемое пример,
[01:02:25 --> 01:02:27]  называем шаг,
[01:02:27 --> 01:02:28]  там сушка,
[01:02:28 --> 01:02:30]  первый шаг,
[01:02:30 --> 01:02:31]  сохранить.
[01:02:31 --> 01:02:34]  И здесь мы выбираем уже параметра этого шага.
[01:02:34 --> 01:02:36]  Мы сушим на параметах температуре 50 градусов,
[01:02:36 --> 01:02:38]  температура продуктов влажется.
[01:02:38 --> 01:02:39]  В нас не интересует.
[01:02:39 --> 01:02:42]  Вентилятор отработает на 100%
[01:02:42 --> 01:02:46]  а вот с ним у нас 100%
[01:02:46 --> 01:02:49]  и время сушки на 3,5 минут сохранить.
[01:02:49 --> 01:02:52]  У нас уже есть текущий шаг сушка,
[01:02:52 --> 01:02:55]  пара грамма на парамет у нас сахдельки,
[01:02:55 --> 01:02:59]  как-нибудь будет сахдельки сохранить.
[01:02:59 --> 01:03:03]  Вот у нас уже есть программа с шагом сушка.
[01:03:03 --> 01:03:05]  Мы можем в старий шаг после
[01:03:05 --> 01:03:07]  у нас он будет, например,
[01:03:07 --> 01:03:09]  потом у нас будет варка.
[01:03:09 --> 01:03:10]  А нет,
[01:03:10 --> 01:03:12]  кочине,
[01:03:14 --> 01:03:16]  как чинь,
[01:03:16 --> 01:03:17]  сохранить,
[01:03:17 --> 01:03:19]  протемператор в 60 градусов,
[01:03:19 --> 01:03:22]  время кочинь у нас будет
[01:03:22 --> 01:03:24]  порядка 30 минут,
[01:03:24 --> 01:03:28]  тоже в вентилятор.
[01:03:28 --> 01:03:30]  Он работает на 45% на кочине,
[01:03:30 --> 01:03:30]  домогенер,
[01:03:30 --> 01:03:31]  в оключом.
[01:03:31 --> 01:03:33]  Перед этим шагом,
[01:03:33 --> 01:03:34]  произвиниз в врачах,
[01:03:34 --> 01:03:36]  что можно включить домогенерадор сахаранить.
[01:03:36 --> 01:03:38]  У любит третьей шаг последний у нас будет варка.
[01:03:39 --> 01:03:41]  Варка сахараней температур в камере
[01:03:41 --> 01:03:44]  приварка будет 8,5 градуса,
[01:03:44 --> 01:03:47]  температура продукта нам нужно 7,5 градус.
[01:03:47 --> 01:03:50]  И влажность у нас будет максимальная,
[01:03:50 --> 01:03:55]  поставим с до у процентов в вентилятор.
[01:03:55 --> 01:03:58]  Работанная, 55% до универтого.
[01:03:58 --> 01:04:00]  Временно сники высуют,
[01:04:00 --> 01:04:02]  потому что на другой шаг мы передем
[01:04:02 --> 01:04:04]  по температуре продукта.
[01:04:04 --> 01:04:05]  Программа закончится.
[01:04:05 --> 01:04:06]  Итак, вот буквально,
[01:04:06 --> 01:04:08]  как вы видите, за 3 секунд мы создали
[01:04:08 --> 01:04:10]  новую программу для садели.
[01:04:10 --> 01:04:13]  Сохраняем, выбираем,
[01:04:13 --> 01:04:14]  выбрать рецепт.
[01:04:14 --> 01:04:17]  И у нас программа садельки,
[01:04:17 --> 01:04:19]  и первый шаг из трех.
[01:04:19 --> 01:04:20]  Мы можем пройти с подремом этим шагом,
[01:04:20 --> 01:04:23]  вперед назад.
[01:04:23 --> 01:04:25]  Посмотреть их параметр
[01:04:25 --> 01:04:27]  и запустить процесс именно с того шага,
[01:04:27 --> 01:04:29]  который нам не один.
[01:04:29 --> 01:04:31]  В общем, с первого шага, значит,
[01:04:31 --> 01:04:32]  можно с второго.
[01:04:32 --> 01:04:34]  Мы можем с этими параметры,
[01:04:34 --> 01:04:36]  перейти вручную режим.
[01:04:36 --> 01:04:38]  Вот мы находимся вручного вручного вручения
[01:04:38 --> 01:04:39]  с этими параметры.
[01:04:39 --> 01:04:40]  Мы можем запустить процесс.
[01:04:40 --> 01:04:42]  Вот такую удобный,
[01:04:42 --> 01:04:44]  че, читательный человек,
[01:04:44 --> 01:04:45]  но человеком машины интерфейс,
[01:04:45 --> 01:04:47]  чем мы его называются.
[01:04:47 --> 01:04:48]  Позволяет,
[01:04:48 --> 01:04:49]  реально удобно работать с камерой,
[01:04:49 --> 01:04:52]  но спрозваться по процессам копчения,
[01:04:52 --> 01:04:54]  вот как никогда раньше.
[01:04:54 --> 01:04:56]  Вот еще один важный момент.
[01:04:56 --> 01:04:58]  Значит, здесь у нас,
[01:04:58 --> 01:05:01]  здесь у нас напряжается к кущей параметр.
[01:05:01 --> 01:05:02]  А здесь,
[01:05:02 --> 01:05:03]  напряжается к параметр, который мы страниемся.
[01:05:05 --> 01:05:05]  Вот.
[01:05:05 --> 01:05:07]  Если мы вот параметр температуру в каме,
[01:05:07 --> 01:05:09]  сразу дадим 15 градусов,
[01:05:09 --> 01:05:12]  и скажем, что этот параметр церевой, например,
[01:05:12 --> 01:05:13]  он нас раздобыть в деревнике.
[01:05:13 --> 01:05:15]  То есть мы ее делаем, он уже выполнен.
[01:05:15 --> 01:05:19]  И вот в этой панелью
[01:05:19 --> 01:05:21]  в проблеме реализована функция,
[01:05:21 --> 01:05:23]  когда мы можем перейкадить нас следующий шаг,
[01:05:23 --> 01:05:24]  сразу по-неской кейпарами.
[01:05:24 --> 01:05:27]  То есть мы хотим, что мы и временно прошло 3 см.
[01:05:27 --> 01:05:31]  И хотим, например, что у бытинпература в камере была 15 градусов.
[01:05:31 --> 01:05:33]  То есть некоторые параметры можем выбирать,
[01:05:33 --> 01:05:35]  как церевой, некоторые параметры у нас автоматически
[01:05:35 --> 01:05:38]  становится церевыми, в том случае, если они заданы.
[01:05:38 --> 01:05:41]  Например, если мы вообще задали время,
[01:05:41 --> 01:05:43]  то он этот параметр с всегда будет церевым.
[01:05:43 --> 01:05:45]  То есть если мы временно задаем,
[01:05:45 --> 01:05:49]  соответственно мы не интересуемся временно на дайном шаге.
[01:05:49 --> 01:05:51]  А если мы шременно задаем, значит,
[01:05:51 --> 01:05:52]  оно действительно должно пройти,
[01:05:52 --> 01:05:54]  как минимум этот вот отрезок временно.
[01:05:54 --> 01:05:55]  Вот.
[01:05:55 --> 01:05:57]  То же с самым у нас температуры продукта.
[01:05:57 --> 01:05:58]  Если мы его не задали, значит,
[01:05:58 --> 01:06:00]  оно нам вообще не интересен.
[01:06:00 --> 01:06:03]  Если мы все-таки задаем, то у нас всегда будет церевым.
[01:06:03 --> 01:06:06]  А если он будет уже параметрового выполнен,
[01:06:06 --> 01:06:08]  то он будет спотрасситься зелененько.
[01:06:08 --> 01:06:10]  Велите вот таким вот образом.
[01:06:11 --> 01:06:11]  Вот.
[01:06:11 --> 01:06:12]  То есть, нас по сути,
[01:06:12 --> 01:06:13]  трицелевых параметра,
[01:06:13 --> 01:06:15]  два из которых выполнен,
[01:06:15 --> 01:06:16]  а трицелевые выполнены.
[01:06:16 --> 01:06:18]  И шаг будет идти до тех пор,
[01:06:18 --> 01:06:22]  как все церевые параметры не будут выполнены.
[01:06:22 --> 01:06:26]  Это вот вкратце осистиме управления,
[01:06:26 --> 01:06:27]  и уже за 15.
[01:06:27 --> 01:06:28]  Напомню, что это система управления
[01:06:28 --> 01:06:30]  идет базовые комплектации.
[01:06:30 --> 01:06:32]  Систима дополнительная опция управления
[01:06:32 --> 01:06:36]  скоростью работы основного рабочего.
[01:06:36 --> 01:06:37]  Врачная режим.
[01:06:37 --> 01:06:39]  Скоростью рабочего колеса.
[01:06:39 --> 01:06:41]  Это дополнительная опция.
[01:06:41 --> 01:06:42]  И я поскольку она очень важна.
[01:06:42 --> 01:06:45]  Это он случай, если вы понируете делать
[01:06:45 --> 01:06:46]  более одной загрузке в день.
[01:06:47 --> 01:06:52]  Она действительно позволяет гибкая настраиваться
[01:06:52 --> 01:06:54]  на каждой этап, как чение,
[01:06:54 --> 01:06:56]  на каждой режим технологические,
[01:06:56 --> 01:06:58]  в котором будет работать до камера.
[01:06:58 --> 01:07:01]  Но это, как знаете, можно взять машину
[01:07:01 --> 01:07:03]  без кондиционеры, как бы есть базовое комплектацию.
[01:07:03 --> 01:07:06]  Но система управления
[01:07:06 --> 01:07:08]  скоростью рачения вентилятора
[01:07:08 --> 01:07:10]  это как кондиционеросу на машине.
[01:07:10 --> 01:07:12]  А скажу, почему?
[01:07:12 --> 01:07:16]  То же об этой опции важный момент.
[01:07:16 --> 01:07:19]  В базовой комплектации мы решили камеру
[01:07:19 --> 01:07:21]  поставлять со скоростью в прошине основного рабочего
[01:07:21 --> 01:07:23]  колеса полторы тысяча болотов минуту.
[01:07:23 --> 01:07:28]  Сделали мы это потому, что в операх на этой скорости
[01:07:28 --> 01:07:31]  вращения самые лучшие показатели пара.
[01:07:31 --> 01:07:34]  То есть, если колесу вращается слишком быстро
[01:07:34 --> 01:07:36]  три дыщие болотов,
[01:07:36 --> 01:07:37]  вас происходит частично,
[01:07:37 --> 01:07:39]  конненциация пара на лопостях
[01:07:39 --> 01:07:40]  нетилятора.
[01:07:40 --> 01:07:42]  Соответственно, влажность падает и увеличивается
[01:07:42 --> 01:07:44]  скорость права,
[01:07:44 --> 01:07:48]  увеличивается время приготовления продукта,
[01:07:48 --> 01:07:50]  увеличиваются ваших потери.
[01:07:50 --> 01:07:53]  И на полутора тысяча
[01:07:53 --> 01:07:56]  это оптимальная температура для оптимальной скорости
[01:07:56 --> 01:07:59]  сочения вентилятора для копчения.
[01:07:59 --> 01:08:02]  Если у вас слишком быстро прощается вентилятор,
[01:08:02 --> 01:08:04]  опять-таки происходит избыточная подсушка
[01:08:04 --> 01:08:06]  продуктов процессе копчения, что нам
[01:08:06 --> 01:08:07]  очень-то не нужно.
[01:08:07 --> 01:08:09]  Но на полутора тысяча
[01:08:09 --> 01:08:11]  не самая эффективная сушка.
[01:08:11 --> 01:08:14]  Сушка, естественно, будет эффективнее на полутора
[01:08:14 --> 01:08:16]  на трёх тысяча хоборотов.
[01:08:16 --> 01:08:19]  Но мы выбрали, мы осознаете на пошлистурную
[01:08:19 --> 01:08:21]  повышение эффективности
[01:08:21 --> 01:08:23]  копчения и варки,
[01:08:23 --> 01:08:26]  потому что сушку условно можно решать
[01:08:26 --> 01:08:28]  вопросом отеплине.
[01:08:28 --> 01:08:31]  И если вы после холодильника
[01:08:31 --> 01:08:33]  натримпосле посолки мяса
[01:08:33 --> 01:08:36]  вы развитите продукцию на раму
[01:08:36 --> 01:08:38]  и дадите продукции по стоять условно
[01:08:38 --> 01:08:40]  отеплиться в очень-то нормальных технологической
[01:08:40 --> 01:08:42]  процессе, когда температура внутри продукта
[01:08:42 --> 01:08:44]  естественного условия, растет с нулятом
[01:08:44 --> 01:08:46]  до 15 градусов внутри.
[01:08:46 --> 01:08:49]  В естественной процессе, в естественном условиях
[01:08:49 --> 01:08:50]  он еще подсыхает.
[01:08:50 --> 01:08:53]  У вас радая процент потерь будет понижен.
[01:08:53 --> 01:08:58]  И будет выдержан правильно на психологической процессе.
[01:08:58 --> 01:08:59]  Если вы делаете этот момент,
[01:08:59 --> 01:09:03]  у вас в общем-то сушка происходит
[01:09:03 --> 01:09:05]  естественного образом, и вы не так
[01:09:05 --> 01:09:07]  зависит от сушки по средствам в салмой камере.
[01:09:07 --> 01:09:12]  Если вам нужно быстрее сушить
[01:09:12 --> 01:09:14]  более эффективно сушить и завешивать
[01:09:14 --> 01:09:17]  более плотным продукцию, то возможно
[01:09:17 --> 01:09:21]  даже 50 процентов не всегда будет хватать,
[01:09:21 --> 01:09:23]  то есть полута тысячи болотов и терять,
[01:09:23 --> 01:09:25]  они всегда будет хватать и на проварке.
[01:09:25 --> 01:09:27]  Если вы очень плотно завешиваете,
[01:09:27 --> 01:09:29]  минимальная расстояния нужно продукция
[01:09:29 --> 01:09:31]  оставляйте, иногда мы варим должны
[01:09:31 --> 01:09:33]  50 процентов в случае есть у вас есть
[01:09:33 --> 01:09:36]  опция управления скорость
[01:09:36 --> 01:09:38]  обороту вентилятор.
[01:09:38 --> 01:09:42]  Вот поэтому в базу конкретации
[01:09:42 --> 01:09:46]  камеры идёт с вентилятор с двигатель
[01:09:46 --> 01:09:48]  на полкрытый вещь оборотов.
[01:09:48 --> 01:09:51]  Если вы делаете условно на глубь безагрузки
[01:09:51 --> 01:09:56]  и делать отепление и не завешиваете
[01:09:56 --> 01:09:59]  слишком плотно, камера будет работать идеально.
[01:09:59 --> 01:10:01]  Если вы хотите получать эту камеры все
[01:10:01 --> 01:10:02]  на что у нас способна,
[01:10:02 --> 01:10:03]  нужно поставить эту опцию,
[01:10:03 --> 01:10:05]  она поможет нам на 100-м недородом
[01:10:05 --> 01:10:07]  по 24-катых петрицей.
[01:10:07 --> 01:10:09]  Вот, но она реально решает.
[01:10:09 --> 01:10:11]  Она позволяет быстрее слушать,
[01:10:11 --> 01:10:13]  она позволяет коптить
[01:10:13 --> 01:10:15]  даже на скорости вращения меньше
[01:10:15 --> 01:10:17]  50 процентов в этом случае
[01:10:17 --> 01:10:19]  у вас есть еще меньше.
[01:10:19 --> 01:10:20]  Делаете тягу,
[01:10:20 --> 01:10:22]  через домогенератор
[01:10:22 --> 01:10:25]  и дым получается еще более
[01:10:25 --> 01:10:28]  легким и низкой температурным,
[01:10:28 --> 01:10:32]  что серьезно влияет на повышение его качества.
[01:10:32 --> 01:10:34]  И в праварку вы тоже можете делать
[01:10:34 --> 01:10:39]  на 50-50-50 на 60 процентах
[01:10:39 --> 01:10:41]  от трех тысяч скорости вращения вентиляторы.
[01:10:41 --> 01:10:43]  Стоит самое важное функцию,
[01:10:43 --> 01:10:46]  которое вырекомендовал.
[01:10:46 --> 01:10:47]  Значит, передем следующим отличиями
[01:10:47 --> 01:10:51]  на нашей камеры за 155-собственно
[01:10:51 --> 01:10:55]  аналогов, которые могли бы быть.
[01:10:55 --> 01:10:57]  Вопробленный момент
[01:10:57 --> 01:10:59]  и стоит конструкивого не наших камер.
[01:10:59 --> 01:11:03]  Мы поняли, что возникается ситуация,
[01:11:03 --> 01:11:05]  когда силиконовое уплотнение
[01:11:05 --> 01:11:09]  стыков между панелями дает сгой.
[01:11:09 --> 01:11:11]  Дает сгой она может процессе
[01:11:11 --> 01:11:13]  к этому спратировке могут расстрестий
[01:11:13 --> 01:11:16]  может быть камеру, где-то силиконов может отойти.
[01:11:16 --> 01:11:18]  Может быть, может быть
[01:11:18 --> 01:11:20]  там в силиконов какой-то может быть
[01:11:20 --> 01:11:21]  не очень качество.
[01:11:21 --> 01:11:22]  Или могут быть какие-то другие факторы,
[01:11:22 --> 01:11:24]  но так или иначе периодически мы стал
[01:11:24 --> 01:11:26]  кулистем, что если мы
[01:11:26 --> 01:11:31]  кладем силиконов на стыках между панелями
[01:11:31 --> 01:11:34]  камера и нагдак пропускала ходу
[01:11:34 --> 01:11:35]  дым или что-то подобное.
[01:11:35 --> 01:11:37]  Для того, что полностью обеспечить
[01:11:37 --> 01:11:41]  и регоронтировать, что камер у нас гементичная.
[01:11:41 --> 01:11:43]  Мы пришли к любоду полностью проваривать
[01:11:43 --> 01:11:47]  все швы в внутренней, которые в каме присутствуют.
[01:11:47 --> 01:11:49]  Это мы подсмотрели у немцев,
[01:11:49 --> 01:11:51]  немцы делают именно так.
[01:11:51 --> 01:11:56]  В качественной немцы, с ответственно
[01:11:56 --> 01:11:59]  все швы у нас праваренно.
[01:11:59 --> 01:12:02]  Если посмотреть, вот этот фолус тешев
